pubmed_id,abstract,topic,clean
7527582,"Characterization of the mouse monoclonal antibody TJ4C4 directed at human p68 kinase. This report describes the production and characterization of a mouse monoclonal antibody (mAb) TJ4C4, which is directed against the interferon-induced double-stranded RNA-activated protein kinase p68 (PKR). The mAb TJ4C4 was produced against p68 which was isolated using a partially purified p68 preparation from human cells. The specificity of this mAb is demonstrated in competitive inhibition assays using recombinantly produced p68 protein and by immunoprecipitation. This mAb is of particular value in that it detects an epitope on p68 which is not destroyed in routinely prepared, formalin-fixed paraffin-embedded tissues, or in a variety of other commonly used clinical fixatives. The inhibition of mAb TJ4C4 by recombinantly produced p68, on human tissues sections, validates the specificity of this mAb in histological studies. Therefore, mAb TJ4C4 serves as a specific probe to study p68 expression in clinically derived tissue specimens.",Immunology,characterization mouse monoclonal antibody tjc directed human kinase report describes production characterization mouse monoclonal antibody mab tjc directed interferoninduced doublestranded rnaactivated protein kinase pkr mab tjc produced isolated using partially purified preparation human cell specificity mab demonstrated competitive inhibition assay using recombinantly produced protein immunoprecipitation mab particular value detects epitope destroyed routinely prepared formalinfixed paraffinembedded tissue variety commonly used clinical fixative inhibition mab tjc recombinantly produced human tissue section validates specificity mab histological study therefore mab tjc serf specific probe study expression clinically derived tissue specimen
7526548,[The stomach cancer problem remains the leading one in current clinical oncology]. ,Immunology,stomach cancer problem remains leading one current clinical oncology
7526537,"Interferon induction by HIV glycoprotein 120: role of the V3 loop. We have studied the mechanism of IFN induction by HIV-1 in peripheral blood mononuclear cells (PBMC), using recombinant viral membrane glycoproteins as potential inducers. Whereas 8 nM HIVIIIB-derived gp120 resulted in IFN levels between 80 and 2000 IU/ml with PBMC from different donors, gp120 from the MN strain was not an inducer. Preincubation of HIVIIIB-gp120 with a monoclonal antibody (mAB) to its CD4 binding domain or of PBMC with a mAB to the gp120 binding domain of CD4 abolished IFN induction. Antibodies against the third extracellular domain of CD4 which did not block binding of gp120, however, were also inhibitory. Furthermore, several mABs to the third variable loop (V3) of HIVIIIB-gp120 also blocked IFN induction, suggesting an important role of V3 in this process. This was further supported by the inhibitory action of peptides homologous to complete or partial sequences of V3. We conclude that after binding of gp120 to its CD4 receptor the V3 loop can be positioned close to the membrane of the responder cells by bending of gp120-occupied CD4 at its hinge region between extracellular domains 2 and 3. As a result V3 is able to interact with a V3-specific ""secondary receptor"" on the membranes of these cells. We suggest that it is the latter interaction which triggers IFN induction.",Immunology,interferon induction hiv glycoprotein role loop studied mechanism ifn induction hiv peripheral blood mononuclear cell pbmc using recombinant viral membrane glycoprotein potential inducer whereas nm hiviiibderived gp resulted ifn level iuml pbmc different donor gp mn strain inducer preincubation hiviiibgp monoclonal antibody mab cd binding domain pbmc mab gp binding domain cd abolished ifn induction antibody third extracellular domain cd block binding gp however also inhibitory furthermore several mabs third variable loop hiviiibgp also blocked ifn induction suggesting important role process supported inhibitory action peptide homologous complete partial sequence conclude binding gp cd receptor loop positioned close membrane responder cell bending gpoccupied cd hinge region extracellular domain result able interact vspecific secondary receptor membrane cell suggest latter interaction trigger ifn induction
7526457,"[Apropos of Swiss research in psychogeriatrics. A critical analysis]. Psychogeriatrics is the general psychiatry of old age. It is closely related with the biological and human fundamental sciences and with the medical disciplines concerned with the care of old patients. Its issues are ubiquitous and also interest non psychiatrists, particularly geriatricians, internists, neurologists and psychologists. Therefore there is a risk for research to be spread out. As a medicine of synthesis, it must assert itself as a convergence point for the related branches. Its very vast field of research is confronted with particular methodological problems, like the chronological and biological age, the heterogeneity of the population, the polymorbidity. Psychogeriatrics is young and still requires an important involvement in the clinical tasks, in the medico-social coordination and in the teaching to medical and paramedical circles. Rare are centers having the critical mass for developing good research with complete peace of mind, Switzerland is an example of this. An analysis of the 1992 international literature shows a certain scattering of the psychogeriatric themes with a 50% predominance of papers devoted to dementias. In the future, psychogeriatrics must well limit its territory, particularly by developing services where care, teaching and research are harmonized.",Immunology,apropos swiss research psychogeriatrics critical analysis psychogeriatrics general psychiatry old age closely related biological human fundamental science medical discipline concerned care old patient issue ubiquitous also interest non psychiatrist particularly geriatrician internist neurologist psychologist therefore risk research spread medicine synthesis must assert convergence point related branch vast field research confronted particular methodological problem like chronological biological age heterogeneity population polymorbidity psychogeriatrics young still requires important involvement clinical task medicosocial coordination teaching medical paramedical circle rare center critical mass developing good research complete peace mind switzerland example analysis international literature show certain scattering psychogeriatric theme predominance paper devoted dementia future psychogeriatrics must well limit territory particularly developing service care teaching research harmonized
7526453,"[The Helvetic whiplash trauma--nightmare of the legal profession?]. An appropriate management of medicolegal problems in the context of the so-called ""whiplash-injury"" calls for much effort from both sides, physicians and lawyers. Communication to the latter will be enhanced by medical statements, which are fulfilling the formal as well as the substantial criterias. Incomplete and/or incorrect medical information may end up in misleading conclusions by the lawyers and cause unnecessary difficulties in settlement. One out of the latest leading cases of the Swiss Federal Supreme Court, dealing with the aspect of causality, is stressed.",Immunology,helvetic whiplash traumanightmare legal profession appropriate management medicolegal problem context socalled whiplashinjury call much effort side physician lawyer communication latter enhanced medical statement fulfilling formal well substantial criterias incomplete andor incorrect medical information may end misleading conclusion lawyer cause unnecessary difficulty settlement one latest leading case swiss federal supreme court dealing aspect causality stressed
7526441,"The antibody MY4 recognizes CD14 on porcine monocytes and macrophages. Several monoclonal antibodies directed against the human CD14 antigen have been established. We now report that the antibody My4, but not LeuM3, reacts with porcine monocytes. Among porcine peripheral blood mononuclear cells (PBMC), 14.6% of the cells stain with the CD14 antibody My4, which is similar to the percentage obtained with the antiporcine monocyte antibody 74-22-15. Two-colour immunofluorescence reveals that My4 and 74-22-15 antigens are coexpressed on the same cells, and cell sorter-purified My4+ cells exhibit the morphology of monocytes. Whole blood analysis (which also shows staining of granulocytes) reveals that the average percentage of My4+ monocytes amongst all leucocytes is 5.8% with 580 cells/microliters. Furthermore, porcine peritoneal macrophages (PM) and alveolar macrophages (AM), both stain for My4, with a four-fold lower level on AM. Treatment of cells with phosphatidylinositol-specific phospholipase C decreases My4 staining, but does not affect staining with antibody 74-22-15. Immunoprecipitation with the My4 antibody from surface labelled pig mononuclear cells demonstrates a 54 kDa band similar to human CD14, and Western blotting with pig serum demonstrates two bands similar to the alpha and beta forms of human soluble CD14. Finally, the My4 antibody is capable of blocking lipopolysaccharide- (LPS)-induced interleukin-6 production in isolated PBMC. These data show that the My4 antibody recognizes genuine CD14 on porcine monocytes and macrophages.",Immunology,antibody recognizes cd porcine monocyte macrophage several monoclonal antibody directed human cd antigen established report antibody leum reacts porcine monocyte among porcine peripheral blood mononuclear cell pbmc cell stain cd antibody similar percentage obtained antiporcine monocyte antibody twocolour immunofluorescence reveals antigen coexpressed cell cell sorterpurified cell exhibit morphology monocyte whole blood analysis also show staining granulocyte reveals average percentage monocyte amongst leucocyte cellsmicroliters furthermore porcine peritoneal macrophage pm alveolar macrophage stain fourfold lower level treatment cell phosphatidylinositolspecific phospholipase decrease staining affect staining antibody immunoprecipitation antibody surface labelled pig mononuclear cell demonstrates kda band similar human cd western blotting pig serum demonstrates two band similar alpha beta form human soluble cd finally antibody capable blocking lipopolysaccharide lpsinduced interleukin production isolated pbmc data show antibody recognizes genuine cd porcine monocyte macrophage
7520778,"The immunosuppressant rapamycin blocks in vitro responses to hematopoietic cytokines and inhibits recovering but not steady-state hematopoiesis in vivo. The immunosuppressive drug rapamycin suppresses T-cell activation by impairing the T-cell response to lymphokines such as interleukin-2 (IL-2) and interleukin-4 (IL-4). In addition, rapamycin blocks the proliferative response of cell lines to a variety of hematopoietic growth factors, including interleukin-3 (IL-3), interleukin-6 (IL-6), granulocyte-colony stimulating factor (G-CSF), granulocyte macrophage-colony stimulating factor (GM-CSF), and kit ligand (KL), suggesting that it should be a strong inhibitor of hematopoiesis. In this report, we studied the effects of rapamycin on different hematopoietic cell populations in vitro and in vivo. In vitro, rapamycin inhibited the proliferation of primary bone marrow cells induced by IL-3, GM-CSF, KL, or a complex mixture of factors present in cell-conditioned media. Rapamycin also inhibited the multiplication of colony-forming cells in suspension cultures containing IL-3 plus interleukin-1 (IL-1) or interleukin-11 (IL-11) plus KL. In vivo, treatment for 10 to 28 days with high doses of rapamycin (50 mg/kg/d, orally) had no effect on myelopoiesis in normal mice, as measured by bone marrow cellularity, proliferative capacity, and number of colony-forming progenitors. In contrast, the same treatment strongly suppressed the hematopoietic recovery normally seen 10 days after an injection of 5-fluorouracil (5-FU; 150 mg/kg, intravenously [i.v.]). Thus, rapamycin may be detrimental in myelocompromised individuals. In addition, the results suggest that the rapamycin-sensitive cytokine-driven pathways are essential for hematopoietic recovery after myelodepression, but not for steady-state hematopoiesis.",Immunology,immunosuppressant rapamycin block vitro response hematopoietic cytokine inhibits recovering steadystate hematopoiesis vivo immunosuppressive drug rapamycin suppresses tcell activation impairing tcell response lymphokine interleukin il interleukin il addition rapamycin block proliferative response cell line variety hematopoietic growth factor including interleukin il interleukin il granulocytecolony stimulating factor gcsf granulocyte macrophagecolony stimulating factor gmcsf kit ligand kl suggesting strong inhibitor hematopoiesis report studied effect rapamycin different hematopoietic cell population vitro vivo vitro rapamycin inhibited proliferation primary bone marrow cell induced il gmcsf kl complex mixture factor present cellconditioned medium rapamycin also inhibited multiplication colonyforming cell suspension culture containing il plus interleukin il interleukin il plus kl vivo treatment day high dos rapamycin mgkgd orally effect myelopoiesis normal mouse measured bone marrow cellularity proliferative capacity number colonyforming progenitor contrast treatment strongly suppressed hematopoietic recovery normally seen day injection fluorouracil fu mgkg intravenously iv thus rapamycin may detrimental myelocompromised individual addition result suggest rapamycinsensitive cytokinedriven pathway essential hematopoietic recovery myelodepression steadystate hematopoiesis
7511291,"[Molecular biological mechanisms in prostatic neoplasms]. An overview is given on three topics of prostate carcinoma: 1. New data on genetic factors in the pathogenesis, 2. molecular activation mechanisms in metastasis and 3. endocrine dedifferentiation during the course of the disease causing androgen independent state. Recent epidemiological analyses have clearly shown, that a specific part of prostate cancer is inherited. By DNA-interphase analyses specific allelic losses have been demonstrated. Metastatic progression is both associated with oncogene ras activation and chromosomal deletions. Endocrinological dedifferentiation cannot be simply explained by an overgrowth by androgen-receptor negative tumor cells, but by a more complex deregulation with strong influences by stromal-epithelial interactions. Downregulation of the promoter region of the androgen receptor may play a crucial role in the development of ""endocrine deafness"".",Immunology,molecular biological mechanism prostatic neoplasm overview given three topic prostate carcinoma new data genetic factor pathogenesis molecular activation mechanism metastasis endocrine dedifferentiation course disease causing androgen independent state recent epidemiological analysis clearly shown specific part prostate cancer inherited dnainterphase analysis specific allelic loss demonstrated metastatic progression associated oncogene ra activation chromosomal deletion endocrinological dedifferentiation simply explained overgrowth androgenreceptor negative tumor cell complex deregulation strong influence stromalepithelial interaction downregulation promoter region androgen receptor may play crucial role development endocrine deafness
7509521,"Identification and cell lineage of individual neural precursors in the Drosophila CNS. The Drosophila CNS is complex enough to serve as a model for many of the molecular, cellular and developmental functions of the vertebrate CNS, yet simple enough for single-cell analysis. Recent advances have provided molecular markers that allow most Drosophila CNS precursors to be uniquely identified, as well as methods for determining the complete cell lineage of each precursor. A detailed understanding of wild-type neurogenesis, combined with existing molecular genetic techniques, should provide insight into the fundamental mechanisms that generate neuronal and glial diversity.",Immunology,identification cell lineage individual neural precursor drosophila cns drosophila cns complex enough serve model many molecular cellular developmental function vertebrate cns yet simple enough singlecell analysis recent advance provided molecular marker allow drosophila cns precursor uniquely identified well method determining complete cell lineage precursor detailed understanding wildtype neurogenesis combined existing molecular genetic technique provide insight fundamental mechanism generate neuronal glial diversity
7509520,"Molecular biology of opioid receptors. Opium and its derivatives are potent analgesics that also have many other pharmacological effects in the nervous system. These agents and the endogenous opioid peptides exert their effects by interacting with high-affinity receptors. Complementary DNAs encoding the delta, kappa and mu opioid receptors have been isolated and characterized. These receptors, which are members of the superfamily of seven-transmembrane spanning receptors, share a high degree of amino acid sequence similarity with approximately 50% of the residues being identical. The cloned opioid receptors mediate agonist inhibition of cyclic AMP formation and have pharmacological properties similar to the endogenous proteins. The cloning of these receptors will facilitate the development of new clinically useful compounds as well as studies of the molecular basis of tolerance and drug addiction.",Immunology,molecular biology opioid receptor opium derivative potent analgesic also many pharmacological effect nervous system agent endogenous opioid peptide exert effect interacting highaffinity receptor complementary dna encoding delta kappa mu opioid receptor isolated characterized receptor member superfamily seventransmembrane spanning receptor share high degree amino acid sequence similarity approximately residue identical cloned opioid receptor mediate agonist inhibition cyclic amp formation pharmacological property similar endogenous protein cloning receptor facilitate development new clinically useful compound well study molecular basis tolerance drug addiction
7509518,Receptor-independent activation of mast cells by bradykinin and related peptides. ,Immunology,receptorindependent activation mast cell bradykinin related peptide
7508741,"The usefulness of computer-aided karyometric examination in preoperative differentiation of follicular neoplasms of the thyroid gland. Fine-needle aspiration biopsy (FNAB) is the most important procedure in preoperative diagnosis of thyroid neoplasms. However, routine cytological examination is insufficient for differentiation between follicular adenoma and follicular carcinoma. Therefore, we decided to assess the usefulness of karyometric analysis in the examination of aspirates from these neoplasms. Morphometric analysis was performed with the use of the computer system for karyometric measurements--""Karyometry Manager"" ver. 1.2. We examined cytological smears derived from 26 patients. In 10 of them a nodular goitre was diagnosed in both cytological and histopathological examinations. In the other 16 patients, ""follicular neoplasms"" were found in cytological examination. These proved to be follicular adenomas (8 cases) and follicular carcinomas (8 cases) on histopathological examination. The following morphometric parameters were measured in 100 nuclei per smear: volume, intersection area, perimeter, convexity coefficient and shape coefficient. We found that: 1) the mean volume and the mean intersection area of thyrocyte nuclei from follicular carcinomas were significantly (p < 0.001) greater than those of nuclei from adenomas or nodular goitres; 2) the mean perimeter of thyrocyte nuclei from follicular carcinomas was significantly greater than the mean perimeter of thyrocyte nuclei from follicular adenomas (p < 0.025) and nodular goitres (p < 0.001); 3) the mean nuclear area of thyrocytes from follicular adenomas was significantly greater than that of thyrocytes from nodular goitres (p < 0.05). Our results show that karyometric analysis can be useful in cytological differentiation of follicular neoplasms.",Immunology,usefulness computeraided karyometric examination preoperative differentiation follicular neoplasm thyroid gland fineneedle aspiration biopsy fnab important procedure preoperative diagnosis thyroid neoplasm however routine cytological examination insufficient differentiation follicular adenoma follicular carcinoma therefore decided ass usefulness karyometric analysis examination aspirate neoplasm morphometric analysis performed use computer system karyometric measurementskaryometry manager ver examined cytological smear derived patient nodular goitre diagnosed cytological histopathological examination patient follicular neoplasm found cytological examination proved follicular adenoma case follicular carcinoma case histopathological examination following morphometric parameter measured nucleus per smear volume intersection area perimeter convexity coefficient shape coefficient found mean volume mean intersection area thyrocyte nucleus follicular carcinoma significantly greater nucleus adenoma nodular goitre mean perimeter thyrocyte nucleus follicular carcinoma significantly greater mean perimeter thyrocyte nucleus follicular adenoma nodular goitre mean nuclear area thyrocytes follicular adenoma significantly greater thyrocytes nodular goitre result show karyometric analysis useful cytological differentiation follicular neoplasm
7508737,"Thyroid autoantibodies in the subsets of lupus erythematosus: correlation with other autoantibodies and thyroid function. Thirty four sera from: 12 patients with Systemic Lupus Erythematosus (SLE), 9 with Subacute Cutaneous Lupus Erythematosus (SCLE) and 13 with Discoid Lupus Erythematosus (DLE) (disseminatus 3, localised 10) were tested for the presence of: (a) anti-thyroglobulin and anti-microsomal autoantibodies (b) anti-Sm/RNP, anti-doublestranded. DNA (anti-ds. DNA), anti-single-Stranded. DNA (anti-ss. DNA), anti-cardiolipin (anti-Cl), anti-SSA, anti-SSB, Antinuclear Antibodies (ANA). T3, T4, TSH levels were also determined. Five patients with SLE (41.6%), 4 with SCLE (44.4%), and 2 with DLE (15.3%) had thyroid autoantibodies and only three of the 41 controls (7.3%). Five patients (14.7%), especially from SLE and SCLE groups, had biochemical hypothyroidism whereas only one had hyperthyroidism. Statistical evaluation for the possible coexistence of thyroid autoantibodies with a panel of lupus characteristic autoantibodies, revealed highly significant correlations with anti-Sm/RNP, IgG (p = 0.003) and anti-ds. DNA, IgM (p = 0.012). It may be concluded, that not only SLE but also SCLE predisposes to autoimmune thyroid disease and the prevalence of the latter is related to a great extent to the subset of the LE spectrum. From these results and from the inhibition experiments, it seems that some of the specific mono- or polyclonal autoantibodies may be multiple organ reactive.",Immunology,thyroid autoantibody subset lupus erythematosus correlation autoantibody thyroid function thirty four serum patient systemic lupus erythematosus sle subacute cutaneous lupus erythematosus scle discoid lupus erythematosus dle disseminatus localised tested presence antithyroglobulin antimicrosomal autoantibody antismrnp antidoublestranded dna antids dna antisinglestranded dna anti dna anticardiolipin anticl antissa antissb antinuclear antibody ana tsh level also determined five patient sle scle dle thyroid autoantibody three control five patient especially sle scle group biochemical hypothyroidism whereas one hyperthyroidism statistical evaluation possible coexistence thyroid autoantibody panel lupus characteristic autoantibody revealed highly significant correlation antismrnp igg antids dna igm may concluded sle also scle predisposes autoimmune thyroid disease prevalence latter related great extent subset le spectrum result inhibition experiment seems specific mono polyclonal autoantibody may multiple organ reactive
7507993,"Pharmacological evidence that flow- and potassium-induced contraction of rabbit facial vein may involve the same calcium entry pathway. Flow-induced contraction depends upon extracellular Ca++, but the underlying Ca++ entry pathway involved is unknown. We chose the rabbit facial vein to carry out this study because, in addition to contracting to a number of pharmacological agents and developing myogenic tone in response to stretch in vitro, flow-induced contraction also can be consistently demonstrated. Our goal was to determined whether the Ca++ entry pathway for flow-induced contraction could be distinguished from that involved in K(+)-, histamine- and stretch-induced contraction through the use of a Ca++ entry activator: Bay K 8644 and the Ca++ entry blockers nifedipine, diltiazem and verapamil and also cobalt and manganese. All four types of contractions studied are dependent on extracellular Ca++ Flow- and K(+)-induced contraction were equally sensitive to inhibition by nifedipine, verapamil and diltiazem. Those to histamine and stretch were not. Furthermore, the flow- and K(+)-induced contractions were enhanced equivalently by the calcium channel activator, Bay K 8644, but to a lesser degree than those to histamine and stretch. The inorganic calcium channel blockers, Co++ and Mn++ effected equally flow-, K(+)- and histamine-induced contraction. They were more potent in their inhibition of stretch-induced contraction. Our results suggest that flow- and K(+)-induced contractions depend on a similar Ca++ entry system into vascular smooth muscle: probably a voltage-gated Ca++ entry pathway, which is different from that utilized by histamine and stretch.",Immunology,pharmacological evidence flow potassiuminduced contraction rabbit facial vein may involve calcium entry pathway flowinduced contraction depends upon extracellular ca underlying ca entry pathway involved unknown chose rabbit facial vein carry study addition contracting number pharmacological agent developing myogenic tone response stretch vitro flowinduced contraction also consistently demonstrated goal determined whether ca entry pathway flowinduced contraction distinguished involved histamine stretchinduced contraction use ca entry activator bay ca entry blocker nifedipine diltiazem verapamil also cobalt manganese four type contraction studied dependent extracellular ca flow kinduced contraction equally sensitive inhibition nifedipine verapamil diltiazem histamine stretch furthermore flow kinduced contraction enhanced equivalently calcium channel activator bay lesser degree histamine stretch inorganic calcium channel blocker co mn effected equally flow histamineinduced contraction potent inhibition stretchinduced contraction result suggest flow kinduced contraction depend similar ca entry system vascular smooth muscle probably voltagegated ca entry pathway different utilized histamine stretch
7501868,"Bioaccumulation of polycyclic aromatic hydrocarbons by marine organisms. Polycyclic aromatic hydrocarbons (PAHs) are ubiquitous in the marine environment, occurring at their highest environmental concentrations around urban centers. While they can occur naturally, the highest concentrations are mainly from human activities, and the primary sources are combustion products and petroleum. Two factors, lipid and organic carbon, control to a large extent the partitioning behavior of PAHs in sediment, water, and tissue; the more hydrophobic a compound, the greater the partitioning to these phases. These two factors, along with the octanol-water partition coefficient, are the best predictors of this partitioning and can be used to determine PAH behavior and its bioavailability in the environment. It is well known that the lipid of organisms contains the highest levels of hydrophobic compounds such as PAHs, and that organic carbon associated with sediment or dissolved in water can have the greatest influence on PAH bioavailability. Partitioning of combustion-derived PAHs between water and sediment may be much less than predicted, possibly because associations with particles are much stronger than expected. This reduced partitioning may produce erroneous results in predicting bioaccumulation where uptake from water is important. Accumulation of PAHs occurs in all marine organisms; however, there is a wide range in tissue concentrations from variable environmental concentrations, level and time of exposure, and species ability to metabolize these compounds. PAHs generally partition into lipid-rich tissues, and their metabolites can be found in most tissues. In fish, liver and bile accumulate the highest levels of parent PAH and metabolites; hence, these are the best tissues to analyze when determining PAH exposure. In invertebrates, the highest concentrations can be found in the internal organs, such as the hepatopancreas, and tissue concentrations appear to follow seasonal cycles, which may be related to variations in lipid content or spawning cycles. The major route of uptake for PAHs has been debated for years. For the more water-soluble PAHs, it is believed that the main route of uptake is through ventilated water and that the more hydrophobic compounds are taken in mainly through ingestion of food or sediment. There are many variables, such as chemical hydrophobicity, uptake efficiency, feeding rate, and ventilatory volume, which may affect the outcome. The route of uptake may be an important issue for short-term events; however, under long-term exposure and equilibrium conditions between water, prey, and sediment, the route of uptake may be immaterial because the same tissue burdens will be achieved regardless of uptake routes.(ABSTRACT TRUNCATED AT 400 WORDS)",Immunology,bioaccumulation polycyclic aromatic hydrocarbon marine organism polycyclic aromatic hydrocarbon pahs ubiquitous marine environment occurring highest environmental concentration around urban center occur naturally highest concentration mainly human activity primary source combustion product petroleum two factor lipid organic carbon control large extent partitioning behavior pahs sediment water tissue hydrophobic compound greater partitioning phase two factor along octanolwater partition coefficient best predictor partitioning used determine pah behavior bioavailability environment well known lipid organism contains highest level hydrophobic compound pahs organic carbon associated sediment dissolved water greatest influence pah bioavailability partitioning combustionderived pahs water sediment may much le predicted possibly association particle much stronger expected reduced partitioning may produce erroneous result predicting bioaccumulation uptake water important accumulation pahs occurs marine organism however wide range tissue concentration variable environmental concentration level time exposure specie ability metabolize compound pahs generally partition lipidrich tissue metabolite found tissue fish liver bile accumulate highest level parent pah metabolite hence best tissue analyze determining pah exposure invertebrate highest concentration found internal organ hepatopancreas tissue concentration appear follow seasonal cycle may related variation lipid content spawning cycle major route uptake pahs debated year watersoluble pahs believed main route uptake ventilated water hydrophobic compound taken mainly ingestion food sediment many variable chemical hydrophobicity uptake efficiency feeding rate ventilatory volume may affect outcome route uptake may important issue shortterm event however longterm exposure equilibrium condition water prey sediment route uptake may immaterial tissue burden achieved regardless uptake routesabstract truncated word
7542709,"Monoclonal antibodies raised against coccidia and malarial parasites recognize antigenic epitopes found in lankesterellid and adeleorin parasites. Three murine monoclonal antibodies (MAbs) raised against poultry coccidia or murine malarial parasites were tested for cross-reactivity with 2 sporozoan parasites with different life histories and hosts: Lankesterella minima (Eimeriorina), an intraerythrocytic parasite of frogs that is transmitted by leeches; and Heptazoon catesbianae (Adeleinorina) that infects the red blood cells of frogs and is transmitted by mosquitoes. MAb 1209 recognized both refractile bodies of sporozoites of L. minima, using the indirect fluorescent antibody (IFA) technique and immunoelectron microscopy, and recognized antigens with relative rates of migration (M(r)) of 17, 23, 26, 43, and 48 kDa on a chemiluminescent western blot of L. minima sporozoite antigens. MAbs C(3)4F1 and E12 demonstrated spotty cytoplasmic staining and labeling of the anterior pellicle of L. minima sporozoites, respectively. Gamonts of H. catesbianae labeled with only MAb E12, using IFA. These gamonts exhibited staining similar to that observed with the L. minima sporozoites. The presence of the cross-reactive epitopes recognized by these MAbs in the same conserved locations suggests that these antigens are homologous.",Genome engineering,monoclonal antibody raised coccidia malarial parasite recognize antigenic epitope found lankesterellid adeleorin parasite three murine monoclonal antibody mabs raised poultry coccidia murine malarial parasite tested crossreactivity sporozoan parasite different life history host lankesterella minimum eimeriorina intraerythrocytic parasite frog transmitted leech heptazoon catesbianae adeleinorina infects red blood cell frog transmitted mosquito mab recognized refractile body sporozoite minimum using indirect fluorescent antibody ifa technique immunoelectron microscopy recognized antigen relative rate migration mr kda chemiluminescent western blot minimum sporozoite antigen mabs cf demonstrated spotty cytoplasmic staining labeling anterior pellicle minimum sporozoite respectively gamonts catesbianae labeled mab using ifa gamonts exhibited staining similar observed minimum sporozoite presence crossreactive epitope recognized mabs conserved location suggests antigen homologous
7542539,"Localization and expression of a collecting duct water channel, aquaporin, in hydrated and dehydrated rats. The cellular and subcellular localization and expression of a kidney collecting duct water channel, aquaporin (AQP)-CD, were examined in the kidneys of hydrated and dehydrated rats by immunostaining, Northern blot analysis, and radioimmunoassay. In hydrated rat kidneys, AQP-CD was selectively found in the collecting duct principal cells and inner medullary collecting duct cells, but not in the intercalated cells. At a light microscopic level, AQP-CD was diffusely present in a granular pattern throughout the cytoplasm of the collecting duct cells with a preferential accumulation in subapical regions. By immunoelectron microscopy, AQP-CD was frequently demonstrated along membranes of small vesicles in the subapical cytoplasm and occasionally along the basolateral membranes of these cells. However, immunolabeling was sparse on the apical membranes. In dehydrated rats, AQP-CD immunostaining was intensified in the subapical cytoplasm of the collecting duct cells, along with increases in the number and size of AQP-CD-bearing vesicles in the subapical regions and with increment of labeling along the apical membranes. The increase in the amount of AQP-CD in the collecting duct cells of dehydrated rat kidneys was quantitatively confirmed by elevation of AQP-CD at mRNA and protein levels. The AQP-CD localization is consistent with the predicted site of the antidiuretic hormone (ADH)-regulated water channel in the collecting ducts and the increase in AQP-CD at mRNA and protein levels by dehydration may account for high concentration of urine in dehydrated subjects.",Genome engineering,localization expression collecting duct water channel aquaporin hydrated dehydrated rat cellular subcellular localization expression kidney collecting duct water channel aquaporin aqpcd examined kidney hydrated dehydrated rat immunostaining northern blot analysis radioimmunoassay hydrated rat kidney aqpcd selectively found collecting duct principal cell inner medullary collecting duct cell intercalated cell light microscopic level aqpcd diffusely present granular pattern throughout cytoplasm collecting duct cell preferential accumulation subapical region immunoelectron microscopy aqpcd frequently demonstrated along membrane small vesicle subapical cytoplasm occasionally along basolateral membrane cell however immunolabeling sparse apical membrane dehydrated rat aqpcd immunostaining intensified subapical cytoplasm collecting duct cell along increase number size aqpcdbearing vesicle subapical region increment labeling along apical membrane increase amount aqpcd collecting duct cell dehydrated rat kidney quantitatively confirmed elevation aqpcd mrna protein level aqpcd localization consistent predicted site antidiuretic hormone adhregulated water channel collecting duct increase aqpcd mrna protein level dehydration may account high concentration urine dehydrated subject
7542380,"Detection of fetomaternal haemorrhage associated with cordocentesis using serum alpha-fetoprotein and the Kleihauer technique. Fetomaternal haemorrhage (FMH) was studied after 46 cordocenteses. alpha-Fetoprotein (AFP) concentration and Kleihauer staining of maternal blood, taken both before and after the procedure, revealed increases in AFP values of more than 40 per cent in 30 per cent of the patients examined; fetal haemorrhage of more than 0.25 ml was detected in 46 per cent of the cases by the Kleihauer test. In the second trimester of pregnancy both techniques are comparable, while in the third trimester the Kleihauer technique appears to be more sensitive in detecting FMH after cordocentesis. An anterior position of the placenta is a risk factor for FMH.",Genome engineering,detection fetomaternal haemorrhage associated cordocentesis using serum alphafetoprotein kleihauer technique fetomaternal haemorrhage fmh studied cordocenteses alphafetoprotein afp concentration kleihauer staining maternal blood taken procedure revealed increase afp value per cent per cent patient examined fetal haemorrhage ml detected per cent case kleihauer test second trimester pregnancy technique comparable third trimester kleihauer technique appears sensitive detecting fmh cordocentesis anterior position placenta risk factor fmh
