pubmed_id,abstract,topic
7542229,"Clinical and retrospective evaluation of Eviprostat: a non-hormonal and non-neuropharmacological agent for benign prostatic hyperplasia. Eviprostat has been used as a non-hormonal and non-neuropharmacological treatment for benign prostatic hyperplasia (BPH) in Japan. We evaluated the clinical efficacy of Eviprostat in patients with symptomatic BPH and the anti-inflammatory effect of this drug was investigated by retrospective evaluation of TUR specimens. Clinically, Eviprostat subjectively relieved obstructive symptoms of BPH. Objective improvements were also demonstrated by ultrasonographic evaluation of prostatic volume and urinary flow rates. Histologically, preoperative administration of Eviprostat improved the degree of prostatic inflammation. This drug probably can have a place in the treatment of patients with mild or moderate symptoms of outflow obstruction.",Immunology
7542129,"Fusaric acid in Fusarium moniliforme cultures, corn, and feeds toxic to livestock and the neurochemical effects in the brain and pineal gland of rats. Fusaric acid is produced by several species of Fusarium, which commonly infect corn and other agricultural commodities. Since this mycotoxin may augment the effects of other Fusarium toxins, a gas chromatography/mass spectrometry method of analysis in feeds was developed. Fusaric acid was analyzed as the trimethylsilyl-ester from F. moniliforme-cultures, -contaminated corn screenings, and feeds toxic to livestock. The mycotoxin was found in all samples and ranged from 0.43 to 12.39 micrograms/g sample. Also, fusaric acid was tested for its neurochemical effects in the brain and pineal gland of rats. Animals were dosed intraperitoneally (100 mg/kg body weight) 30 min prior to the onset of the dark phase (lights out) and the effects were studied at 1.5, 3.5, and 5.5 h after treatment. Brain serotonin (5HT), 5-hydroxyindoleacetic acid (5HIAA), tyrosine (TYRO), and dopamine (DA) were increased (P < 0.05) by fusaric acid, and norepinephrine (NEpi) was decreased (P < 0.05). Analogously, DA in the pineal gland increased and NEpi decreased (P < 0.05). Pineal N-acetylserotonin (NAc5HT) was increased (P < 0.05), whereas pineal 5HT and its two major metabolites 5HIAA and 5-hydroxytryptophol (5HTOL) decreased (P < 0.05). Elevated brain TYRO and brain and pineal DA, with decreased NEpi, may be consistent with fusaric acid's partial inhibitory effect on tyrosine-hydroxylase and its inhibitory effect on dopamine-beta-hydroxylase, respectively. Elevated pineal Nac5HT is consistent with decreased pineal 5HT and the increased pineal DA, and support the dopaminergic stimulatory activity of the enzyme responsible for the conversion of 5HT to NAc5HT. This is the first report of fusaric acid's in vivo effect on pineal DA, NEpi, 5HT, and NAc5HT in rats, and a relation for the effects on TYRO, 5HT, and 5HIAA in brain tissue. The results indicate fusaric acid alters brain and pineal neurotransmitters and may contribute to the toxic effects of Fusarium-contaminated feeds.",Immunology
7542112,Euthanasia debate. The choice to live or die should remain to the end. ,Immunology
7541480,"[Vitronectin in children with renal disease--1. Immunofluorescence study of vitronectin and C5b-9 in childhood IgA nephropathy]. Renal biopsy specimens from 54 children (33 boys, 21 girls) with IgA nephropathy were investigated by immunofluorescence microscopy to determine the localization of vitronectin and C5b-9. vitronectin and C5b-9 deposits were found within the glomeruli of all cases and the intensity of vitronectin and C5b-9 deposits was as follows: vitronectin: (3+) 17 cases, (2+) 21 cases, (1+) 16 cases and C5b-9: (3+) 28 cases, (2+) 18 cases, (1+) 8 cases. In 19 cases and C5b-9 deposits were shown to be more predominant than vitronectin (Group C) and the same or less intense in 35 cases (Group V). In 33 cases, vitronectin deposits were demonstrated in the mesangial area only (M type), while in 21 cases deposits were presented both the mesangial area and the capillary wall (MC type). Linear staining of vitronectin was noted in Bowman's basement membrane and in the tubular basement membrane. Granular staining of vitronectin was observed in Bowman's basement membrane (29 cases) and tubular basement membrane (46 cases). M type C5b-9 deposits were demonstrated in 34 cases and MC type in 20 cases. C5b-9 deposits were observed in Bowman's basement membrane (19 cases) and in tubular basement membrane (37 cases). Intensely stained vitronectin was found in the sclerotic glomeruli and segmental sclerotic portion of the tissues. In serial biopsy, the intensity of both vitronectin and C5b-9 deposits became less intense. It was found that many patients of Group C had heavy proteinuria (P < 0.05) and that nephrotic patients were more frequent in Group C than in Group V (p < 0.05). In the light microscopic examination, most cases with intense C5b-9 deposits had mesangial proliferation (p < 0.10) and an increase in mesangial matrix (p < 0.10). Mesangial sclerosis index was correlated with the intensity of vitronectin deposits (p < 0.05). These findings suggest that vitronectin and the terminal complement system may play a critical role as a mediator of immunological tissue injury, especially mesangial sclerotic lesion in childhood IgA nephropathy.",Immunology
7541459,Electronmicroscopic diagnosis of human papilloma virus in verruca plantaris. The purpose of this study was to identify the human papilloma virus in verruca plantaris by transmission electron microscopy and study the cellular effect of human papilloma virus at both the transmission electron microscopy and light histochemistry level. The authors discuss the cellular pathology in relation to early studies and keratin disorders. Features identified by transmission electron microscopy are consistent with characteristics of human papilloma virus-1.,Immunology
7541335,"Lenograstim. A review of its pharmacological properties and therapeutic efficacy in neutropenia and related clinical settings. Lenograstim is a recombinant glycosylated human granulocyte colony-stimulating factor (rHuG-CSF) which principally regulates the formation and function of neutrophils. Like other colony-stimulating factors (CSFs), lenograstim has been developed for the prevention and treatment of iatrogenic and disease-related neutropenic conditions. In phase III clinical studies, prophylactic administration of lenograstim shortened the duration of chemotherapy-induced neutropenia in patients with nonmyelogenous cancers who received standard-dose chemotherapy or myeloablative regimens followed by bone marrow transplantation (BMT). A decrease in the incidence of infection after standard regimens and fewer days with infectious and febrile neutropenic episodes during recovery from BMT occurred concomitantly with the amelioration of neutropenia. In each setting, the decrease in morbidity was associated with shorter hospitalisation times and reduced administration of parenteral antibacterial agents. As with another rHuG-CSF, filgrastim, bone pain (non-serious) was the most common adverse reaction to lenograstim therapy. This occurred in 13% of lenograstim recipients and 5% of placebo recipients treated for chemotherapy-induced neutropenia with standard regimens. Lenograstim may facilitate dose optimisation and permit limited dose intensification of standard chemotherapy. Furthermore, the drug, used alone or in combination with chemotherapy, is effective in mobilising peripheral blood progenitor cells (PBPCs) for subsequent reinfusion. The latter is a promising technique which may supplement or ultimately replace BMT for stem cell rescue after myeloablative chemotherapy. However, it has yet to be established whether the dose intensification achievable with lenograstim and/or stem cell rescue has a material effect on relapse-free and survival times. Preliminary data suggest that lenograstim is effective in increasing the neutrophil count in patients with severe chronic neutropenia (Kostmann's syndrome), as well as patients with AIDS or AIDS-related complex with zidovudine-induced neutropenia. Thus, lenograstim, like other CSFs, is a valuable adjunct to cytotoxic chemotherapy for the treatment of nonmyelogenous cancers, including myeloablative regimens followed by stem cell rescue with BMT and/or PBPC infusion. Future clinical experience is likely to confirm the usefulness of the drug in the management of disease-related neutropenia, myeloid disorders and neutropenia in patients with AIDS.",Immunology
7541310,"Comparison of hydromorphone and meperidine for ureteral colic. To compare the efficacies of meperidine and hydromorphone in the treatment for ureteral colic in the emergency department (ED). A prospective, double-blind, randomized clinical trial was conducted over six months at a tertiary referral center with 93,000 annual ED visits. Seventy-three patients completed the study. The patients received either 1 mg of hydromorphone or 50 mg of meperidine IV at t = 0. Pain intensity was determined using a 10-cm visual analog scale at t = 0, 15, 30, 60, and 120 minutes. A second dose of the study drug could be given between t = 15 and t = 120 minutes when the clinician believed the initial dose was ineffective. Patients requiring more than one additional dose of analgesia were treated as nonresponders and were removed from the study. Thirty-six patients received hydromorphone and 37 received meperidine. The initial pain intensities (hydromorphone group = 8.4 +/- 1.5; meperidine group = 8.5 +/- 2.1), age distributions, sex distributions, and side effects of the two groups were comparable. Pain relief was better (p < 0.05) with hydromorphone at t = 15, 30, 60, and 120 minutes. The hydromorphone group required rescue analgesia less often (31% vs 68%, p < 0.01), had fewer IV pyelographies (IVPs) (28% vs 54%, p < 0.05), and had a lower proportion of hospital admissions (25% vs 49%, p = 0.08). For the fixed doses used in this study, the adult ureteral colic patients receiving hydromorphone achieved more pain relief, required less rescue medication, underwent fewer IVPs, and avoided hospital admission more frequently than did those receiving meperidine.",Immunology
7541248,"Versatile procedure of multiple introduction of 8-aminomethylene blue into oligonucleotides. The coupling of 8-aminomethylene blue to oligonucleotides via poly-L-glutamic acid linker using carboxy-anchor groups will be described. The introduction of carboxy-anchor groups into oligonucleotides proceeds both during automated synthesis using 6-(ethoxycarbonyl)hexyl 1-O-phosphoramidite and by reaction of 5'-amino-functionalized oligonucleotides with succinic anhydride. O-(N-Succinimidyl)-1,1,3,3-tetramethyluronium tetrafluoroborate was used as activating reagent for binding of poly-L-glutamic acid to the carboxylated oligonucleotides. The successful 5'-carboxylation and poly-L-glutamic acid coupling were proven both by polyacrylamide gel electrophoreses and HPLC. 8-Aminomethylene blue in its leucoform was covalently coupled to the oligonucleotides in the presence of water soluble carbodiimide.",Immunology
7541235,"Intensification of chemotherapy for the treatment of solid tumours: feasibility of a 3-fold increase in dose intensity with peripheral blood progenitor cells and granulocyte colony-stimulating factor. Dose intensity may be an important determinant of the outcome in cancer chemotherapy, but is often limited by cumulative haematological toxicity. The availability of haematopoietic growth factors such as granulocyte colony-stimulating factor (G-CSF) and of peripheral blood progenitor cell (PBPC) transplantation has allowed the development of a new treatment strategy in which several courses of high-dose combination chemotherapy are administered for the treatment of solid tumours. PBPCs were mobilised before chemotherapy using 12 or 30 micrograms kg-1 day-1 G-CSF (Filgrastim) for 10 days, and were collected by 2-5 leucaphereses. The yields of mononuclear cells, colony-forming units and CD34-positive cells were similar at the two dose levels of Filgrastim, and the numbers of PBPCs were sufficient for rescue following multiple cycles of chemotherapy. High-dose chemotherapy (cyclophosphamide 2.5 g m-2 for 2 days, etoposide 300 mg m-2 for 3 days and cisplatin 50 mg m-2 for 3 days) was administered sequentially for a median of three cycles (range 1-4) to ten patients. Following the 30 evaluable cycles, the median duration of leucopenia < or = 0.5 x 10(9) l-1 and < or = 1.0 x 10(9) l-1 was 7 and 8 days respectively. The median time of thrombopenia < or = 20 x 10(9) l-1 was 6 days. There was no cumulative haematological toxicity. The duration of leucopenia, but not of thrombopenia, was inversely related to the number of reinfused CFU-GM (granulocyte-macrophage colony-forming units). In the majority of patients, neurotoxicity and ototoxicity became dose limiting after three cycles of therapy. However, the average dose intensity delivered was about three times higher than in a standard regimen. The complete response rate in patients with small-cell lung cancers was 66% (95% CI 30-92%) and the median progression-free survival and overall survival were 13 months and 17 months respectively. These results are encouraging and should be compared, in a randomised fashion, with standard dose chemotherapy.",Immunology
7541220,"Expression of immunoreactive and bioactive activin A protein in adult murine lung after bleomycin treatment. Activin A is a homodimeric protein structurally and functionally related to transforming growth factor beta (TGF-beta), and the expression of activin A is modulated by TGF-beta. Here, we demonstrate the expression of activin A in normal and bleomycin (BLM)-treated murine lungs. ICR mice were treated with BLM intraperitoneally for 10 days, whereas saline vehicle was injected into control mice. Intra-alveolar fibrotic changes were observed in the lung tissue obtained from the mice at day 14 after the final BLM administration. Immunohistochemical studies using a polyclonal antibody to activin A revealed the presence of activin A in the bronchiolar epithelium and smooth muscle cells of veins in both control and BLM-treated mice. In the BLM-treated mice at days 7 and 14, the marked infiltration of immunoreactive alveolar macrophages was observed in the area of fibrotic changes. Bioactivity of activin A measured by erythroid differentiation factor assay in the conditioned medium of alveolar macrophages obtained from BLM-treated mice at day 14 was significantly increased. These findings indicate that alveolar macrophages are a potent source of activin A after BLM treatment. The present study demonstrates for the first time the abundant expression of activin A in murine lung tissues after BLM administration, suggesting that activin A may play a role in the pathogenesis of BLM-induced pulmonary fibrosis.",Immunology
7541200,"Sensitivity/resistance profile of a simian immunodeficiency virus containing the reverse transcriptase gene of human immunodeficiency virus type 1 (HIV-1) toward the HIV-1-specific non-nucleoside reverse transcriptase inhibitors. To develop an animal model for the therapy of AIDS with human immunodeficiency virus type 1 (HIV-1)-specific reverse transcriptase (RT) inhibitors, we recently constructed a hybrid simian immunodeficiency virus (SIV)/HIV-1 in which the RT gene of SIV was replaced by the RT gene of HIV-1. This chimaeric virus, designated RT-SHIV, was found to be markedly sensitive to the inhibitory effects of both nucleoside (ddN) and non-nucleoside RT inhibitors (NNRTIs). In contrast, SIV was inhibited only by ddNs (i.e., 3TC and AZT), but not NNRTIs. When RT-SHIV was grown in the presence of 3TC, nevirapine, TSAO-m3T or the thiocarboxanilide UC-42 drug-resistant mutant virus strains emerged in cell culture as rapid as for HIV-1(IIIB). The antiviral sensitivity/resistance spectrum of the mutant RT-SHIV strains against NNRTIs and ddNs, and the nature of the mutations that appeared in their RT were similar to those of the mutant HIV-1 strains that were selected under identical experimental conditions. Infection of macaques with RT-SHIV may be a useful tool for studying the mechanism of NNRTI-resistance development and the therapy of NNRTI-resistant viruses in an animal model.",Immunology
7541098,"Impairment of intracellular antiviral defense with age: age-dependent changes in expression of interferon-induced and double-stranded RNA-activated 2-5A synthetase in rat. The 2',5'-oligoadenylate (2-5A) system is involved in the defense of mammalian cells against virus infection. In a previous study [25], we demonstrated that the activities of the enzymes which synthesize and degrade 2-5A [2-5A synthetase (2-5OAS) and 2',3'-exoribonuclease] and of the enzyme that is activated by 2-5A (ribonuclease L) change during aging and development in different tissues of rat. The age-dependent decrease in 2-5OAS activity and increase in 2-5A nuclease activity results in a decrease in the cellular 2-5A content, suggesting that the efficiency of the antiviral 2-5A system is impaired in aged rats. Here we determined the age-dependent changes in the level of mRNA coding for the class I isoenzyme of 2-5OAS (M(r) 40-46 kDa) in rat liver and brain using a cDNA which was recently cloned from rat hippocampus. We found that the decrease in 2-5OAS activity is accompanied by a decrease in the level of 2-5OAS mRNA; in old animals (32-33 months old), the amount of 2-5OAS mRNA was reduced to 20-30% compared to young adult (2-3 months old) (100%) and middle-aged adult animals (12 months old) (110-120%). In addition, Western-blotting experiments revealed that the amount of class I 2-5OAS capable of binding to its activator, poly(I).poly(C), is also diminished in the livers and brains of old rats compared to those of young adult and middle-aged adult animals.",Immunology
7541043,"Expression of a constitutive mutant of iron regulatory protein 1 abolishes iron homeostasis in mammalian cells. Iron regulatory proteins (IRPs) are iron-sensing proteins that bind to RNA stem-loop sequences known as iron-responsive elements (IREs) when cells are depleted of iron. Although IRPs have been shown to bind to IREs derived from ferritin and transferrin receptor (TfR) mRNAs in vitro, there has not been a direct demonstration of the impact of a recombinant IRP on the expression of endogenous IRE-containing transcripts. In this study, we evaluate the impact of expression of C437S, a mutant of IRP1 that binds IREs regardless of cellular iron status, on the regulation of biosynthesis of ferritin and TfR. Despite being made iron-replete, cells expressing C437S continue to synthesize and express high amounts of TfR, while the synthesis of ferritin is repressed. Thus, a single mutant IRP can prevent the usual homeostatic changes in ferritin and TfR biosynthesis. Cells expressing the mutant protein would therefore be predicted to be unable to defend against iron overload. Preliminary results show that cells treated with iron have diminished cell survival when C437S is expressed, and we have thus created a tissue culture model system for the study of iron toxicity.",Immunology
7540438,"What's up, doc?. ",Immunology
7540430,"Cell volume measured by total internal reflection microfluorimetry: application to water and solute transport in cells transfected with water channel homologs. Total internal reflection (TIR) microfluorimetry was established as a method to measure continuously the volume of adherent cells and applied to measure membrane permeabilities in cells transfected with water channel homologs. Cytosol was labeled with the membrane-impermeant fluorophore calcein. Fluorescence was excited by the TIR evanescent field in a thin section of cytosol (approximately 150 nm) adjacent to the cell-substrate interface. Because cytosolic fluorophore number per cell remains constant, the TIR fluorescence signal should be inversely related to cell volume. For small volume changes in Sf-9 and LLC-PK1 cells, relative TIR fluorescence was nearly equal to inverse relative cell volume; deviations from the ideal were modeled theoretically. To measure plasma membrane osmotic water permeability, Pf, the time course of osmotically induced cell volume change was inferred from the TIR fluorescence signal. LLC-PK1 cells expressing the CHIP28 water channel had an HgCl2-sensitive, threefold increase in Pf compared to nontransfected cells (Pf = 0.0043 cm/s at 10 degrees C). Solute permeability was measured from the TIR fluorescence time course in response to solute gradients. Glycerol permeability in Sf-9 cells expressing the water channel homolog GLIP was (1.3 +/- 0.2) x 10(-5) cm/s (22 degrees C), greater than that of (0.36 +/- 0.04) x 10(-5) cm/s (n = 4, p < 0.05) for control cells, indicating functional expression of GLIP. Water and urea permeabilities were similar in GLIP-expressing and control cells. The TIR method should be applicable to the study of water and solute permeabilities and cell volume regulation in cells of arbitrary shape and size.",Immunology
