pubmed_id,titre,abstract
7532568,Changes in retrogradely labelled neurones in the red nucleus and cortex after depletion of motoneurones by axotomy in neonatal rats,"Following nerve injury to the sciatic nerve in neonatal rats many motoneurones die, so that the target of the rubrospinal and corticospinal cord is altered"
7532566,Markers for metastatic adenocarcinoma in serous effusion specimens,A variety of stains have been proposed as useful adjuncts to the morphologic diagnosis of serous effusion specimens
7532342,Anti-HCV seroconversion in multitransfused and immunocompromised patients,A long-term longitudinal study
7531154,Retinol-binding protein mediates uptake of retinol to cultured human keratinocytes,Retinol (vitamin A) circulates in the blood bound to retinol-binding protein (RBP)
7531141,Detection of Chlamydia pneumoniae in clinical specimens by polymerase chain reaction using nested primers,A nested primers strategy was used to develop a two-step PCR test for the direct species-specific detection of the 16s rRNA gene of Chlamydia pneumoniae
7531122,Early in vitro development of voltage- and transmitter-gated currents in GABAergic amacrine cells,It has been shown in previous studies that a subpopulation of neurons in monolayer cultures prepared from immature embryonic chicken retina acquired a series of functional properties which characterized them as GABAergic amacrine cells after 1 week in vitro
7531107,Automatic quantification of amyloid plaque formation in human spongiform encephalopathy,"This study compared a panel of three different prion protein antibodies with conventional plaque staining methods--Congo Red, Periodic acid Schiff and sulphated Alcian blue--to investigate amyloid plaque formation in cases of human spongiform encephalopathy (HSE)"
7531084,[The kidney and hypertension],The kidney and hypertension are critically linked
7530789,Cytokine modulation of interleukin 1 and tumour necrosis factor-alpha secretion from acute myelogenous leukaemia blast cells in vitro,"Spontaneous secretion of interleukin 1 (IL-1) alpha, IL-1 beta and tumour necrosis factor-alpha (TNF-alpha) from acute myelogenous leukaemia (AML) blasts showed significant correlation, and detectable levels of all cytokines were seen for a majority of patients"
7530779,Colchicine toxicity--clinical features and treatment,Massive overdose case report
7530398,Linear B-cell epitopes of the NS3-NS4-NS5 proteins of the hepatitis C virus as modeled with synthetic peptides,A set of 150 synthetic peptides spanning the proteins NS3-NS4-NS5 of the hepatitis C virus (HCV) was synthesized and tested with a panel of 20 sera obtained from HCV-infected patients
7530305,[Single-dose toxicity study and twenty-eight-days intravenously repeated dose toxicity study of desethyl-piperacillin in rats],Desethyl-piperacillin (desethyl-PIPC) is an active metabolite of PIPC which was newly found in clinical field
7530261,Study of certain clinical variables in patients with psoriasis and their relation to DNA content of keratinocytes,In a previous study of 26 patients with psoriasis we analyzed cytophotometrically the nuclear DNA content of the germinative compartment of involved and uninvolved skin by means of the Feulgen technique
7529856,"Quantitative nuclear morphometry, Markovian texture descriptors, and DNA content captured on a CAS-200 Image analysis system, combined with PCNA and HER-2/neu immunohistochemistry for prediction of prostate cancer progression",One hundred and twenty-four localized prostate cancer patients operated on at Johns Hopkins Hospital (JHH) since 1975 were identified
7529833,[Nasal decongestion evaluated by acoustic rhinometry],Acoustic rhinometry measures the cross-sectional area of the nasal cavity based on changes in acoustic impedance
7529552,Cloning and characterization of the t(X;11) breakpoint from a leukemic cell line identify a new member of the forkhead gene family,Chromosome translocations involving 11q23 are associated with a number of different types of leukemia
7529455,Fetal globin stimulation during a short-term trial of erythropoietin in HbS/beta-thalassemia patients,"Six sickle cell/beta-thalassemia patients (3 males and 3 females) were treated with 500 U/kg body weight human recombinant erythropoietin (h-rEPO) along with 300 mg/day iron sulfate in two phases, for a period of 90 days"
7529331,Intracellular cleavage and ligation of hepatitis delta virus genomic RNA: regulation of ribozyme activity by cis-acting sequences and host factors,"During replication, a ribozyme within the genomic RNA of hepatitis delta virus cleaves multimeric precursors to release a unit-length linear intermediate"
7528195,"Administration of porcine somatotropin by a sustained-release implant: effect on follicular growth, concentrations of steroids and insulin-like growth factor I, and insulin-like growth factor binding protein activity in follicular fluid of control, lean, and obese gilts","Prepubertal gilts of control (n = 30), obese (n = 30), or lean (n = 29) genetic lines were implanted with no, one, or two implants of porcine somatotropin (pST, each delivers 2 mg/d) for 6 wk starting at 160 d of age to determine whether pST affects ovarian function"
7528185,Improvement of the T-cell response to a non-immunogenic peptide by its tandem association with a highly efficient T-helper peptide,"The 45-69 peptide, an helper T-cell epitope derived from HIV nef protein, is strongly immunogenic"
7527816,Experimental autoimmune encephalomyelitis-resistant mice have highly encephalitogenic myelin basic protein (MBP)-specific T cell clones that recognize a MBP peptide with high affinity for MHC class II,BALB/c mice are resistant to disease induction when experimental protocols that induce experimental autoimmune encephalomyelitis (EAE) in susceptible strains of animals are used
7527780,The prevalence of hepatitis B and C in an antenatal population of various ethnic origins,"A total of 3522 samples of serum, collected anonymously from women attending an antenatal clinic, was tested for hepatitis B surface antigen and antibody to hepatitis C"
7527700,[Horizontal optokinetic nystagmus in the pigeon during static tilts in the frontal plane],The influences of the static whole body roll tilts (30 or 45 degrees) on horizontal optokinetic nystagmus (HOKN) produced by optokinetic stimuli at a constant velocity (16 or 30 degrees/sec) were examined in the 16 pigeons
7527691,Rapid progression of multiple myeloma following G-CSF mobilization,A 23-year-old man diagnosed as having multiple myeloma was treated with melphalan and prednisone monthly
7527660,Catalysis of RNA cleavage by a ribozyme derived from the group I intron of Anabaena pre-tRNA(Leu),"In the cyanobacterium Anabaena PCC7120, the precursor to tRNA(Leu) contains a 249-nucleotide group I intron that undergoes efficient self-splicing in vitro"
7527615,Recent advances in the application of hypnosis to pain management,In this paper I examine the clinical use of hypnosis for pain management from a cognitive-behavioral perspective
7526546,"National Hospital Discharge Survey: annual summary, 1992",This report presents statistics on the utilization of non-Federal short-stay hospitals based on data collected through the National Hospital Discharge Survey from a national sample of the hospital records of discharged inpatients
7526537,Interferon induction by HIV glycoprotein 120: role of the V3 loop,"We have studied the mechanism of IFN induction by HIV-1 in peripheral blood mononuclear cells (PBMC), using recombinant viral membrane glycoproteins as potential inducers"
7526455,Acute reversible ataxo-myoclonic encephalopathy with flecainide therapy,A 73 year-old patient with Wolff-Parkinson-White syndrome and paroxysmic supraventricular tachycardia developed an acute reversible encephalopathy within 15 days of initiation of flecainide
7526445,Prenatal origin of schizophrenia in a subgroup of discordant monozygotic twins,"Neuropathological, obstetrical, and epidemiological evidence increasingly suggest that some cases of adult-onset schizophrenia have prenatal or neonatal etiological roots"
7525346,Stable expression of VLA-4 and increased maturation of the beta 1-integrin precursor after transfection of CHO cells with alpha 4m cDNA,A full-length cDNA coding for the murine alpha 4 integrin subunit (alpha 4m) was transfected into CHO-K1 cells and cell lines that expressed VLA-4 at their surface as a result of the association of transfected alpha 4m with endogenous hamster beta 1 were selected
7525085,Serum amyloid A: an acute phase apolipoprotein and precursor of AA amyloid,Serum amyloid A is an acute phase protein complexed to HDL as an apoprotein
7524639,[A new liver support system composed of functional human cells and a radial-flow bioreactor],An artificial liver will be useful for the treatment of acute hepatic failure and a bridge of liver transplantation
7522783,[The role of the paraventricular hypothalamic nuclei in the development of chronic neurogenic hypertension and the formation of a self-stimulation reaction],"Effects of bilateral electric lesion of the hypothalamic paraventricular nuclei on cardiovascular components of the defense response and on the self-stimulation operant behaviour, were studied in rats"
7522342,[Prenatal diagnosis of umbilical cord hemangioma in increased alpha fetoprotein],In a patient with elevated serum alpha-fetoprotein a little haemangioma of the umbilical cord is diagnosed by ultrasound in the 21st week of pregnancy
7521971,[Inhibition of gastric myoelectric activity and gastric motility induced by microinjection of substance P into caudate nucleus in mouse],"Changes of gastric myoelectric fast wave, slow wave and gastric motility were studied after microinjection of substance P or ACh into caudate nucleus in an attempt to find the interaction between the two substances"
7521967,"Use of a nonradioactive genetic probe identified, synthesized, and labeled in the polymerase chain reaction","This study introduces a strategy to identify and produce sequences useful as genetic markers, or native genetic probes for DNA-DNA hybridization in bacterial strains where the genetics is not well described"
7521395,"Combination chemotherapy of 5-fluorouracil, epidoxorubicin and mitomycin C in the palliative treatment of locally advanced and/or metastatic adenocarcinoma of the stomach","Thirty-seven consecutive patients with advanced and/or metastatic gastric adenocarcinoma received a combination of 5-fluorouracil 600 mg/m2 on days 1, 8, 29, 36; epidoxorubicin 75 mg/m2 i.v"
7520795,Harmonic and anharmonic aspects in the dynamics of BPTI: a normal mode analysis and principal component analysis,A comparison is made between a 200-ps molecular dynamics simulation in vacuum and a normal mode analysis on the protein bovine pancreatic trypsin inhibitor (BPTI) in order to elucidate the dual aspects of harmonicity and anharmonicity in the dynamics of proteins
7520791,Improvement in blastocyst hatching of mouse embryos cocultured with human placental cells,"Although the hatching of embryos is an important phenomenon, the mechanism of hatching remains controversial"
7520642,Prostatic marker-negative amphicrine carcinoma of the prostate,"It has been shown that prostatic adenocarcinoma differentiation correlates with prostatic-specific marker and neuroendocrine expression; that is, the more undifferentiated the tumor, the less it expresses prostatic markers and the more neuroendocrine cells are found in it"
7520597,[Proper use of prostate specific antigen],Prostate specific antigen (PSA) has become the best marker for prostatic carcinoma
7520596,[Surgical treatment of prostate cancer],Surgical treatment of prostatic carcinoma is used at the two extremities of the course of the disease
7520579,PR92 antigen in human prostate fluid: elevated levels in prostate cancer,"In this preliminary study, we report that an enzyme-linked immunofluorescence assay (EFLA) was developed for the determination of PR92 antigen in prostatic fluid, utilizing anti-PR92 monoclonal antibody"
7520576,Elevated expression of estramustine binding protein (EMBP) in prostatic intraepithelial neoplasia (PIN) compared with malignant and benign prostatic epithelia,The expression of estramustine-binding protein (EMBP) was studied immunohistochemically in whole-mount prostate sections
7520086,Extracellular ATP-induced currents in astrocytes: involvement of a cation channel,Whole-cell currents were measured with the perforated patch clamp technique in cultured rat astrocytes to analyze the underlying ionic mechanism for a P2-purinoceptor-mediated depolarization
7518186,Amylase in mare lacrimale in patients with submandibular salivary gland transplantation to the lacrimal basin,"Six patients with dry eyes of different etiologies underwent transplants of 1.0 to 1.6 ml of submandibular salivary gland tissue, five of them to one eye and one to both eyes"
7513637,The cellular basis of olfaction,Smell is one of the most important senses driving basic patterns of behaviour in most of the earth's animal species
7513568,Experimental regeneration in canine muscular dystrophy--2,Expression of myosin heavy chain isoforms
7511598,Accessibility of the c-Src SH2-domain for binding is increased during mitosis,The Src homology 2 (SH2) region is a noncatalytic domain of Src-family tyrosine kinases and other proteins which participants in inter- and intramolecular interactions of tyrosine-phosphorylated proteins
7509992,"In vivo pharmacology of Ro 46-2005, the first synthetic nonpeptide endothelin receptor antagonist: implications for endothelin physiology","Ro 46-2005 is a small-molecular-weight nonpeptide antagonist of the endothelin (ET), ETA and ETB receptors, chemically derived from a class of compounds identified by systematic screening of chemicals"
7509611,Mesothelial cell proliferation: a nonspecific response to lung injury associated with fibrosis,"An early proliferative response of mesothelial and subpleural cells has been reported in animals after inhalation or intratracheal (I.T.) instillation to the lung of long asbestos fibers, which also induce pulmonary fibrosis"
7509520,Molecular biology of opioid receptors,Opium and its derivatives are potent analgesics that also have many other pharmacological effects in the nervous system
7508936,Monoamine-activated alpha 2-macroglobulin binds trk receptor and inhibits nerve growth factor-stimulated trk phosphorylation and signal transduction,"Monoamine-activated alpha 2-macroglobulin (alpha 2M) has been shown to inhibit beta-nerve growth factor (NGF)-promoted neurite outgrowth and the survival of embryonic sensory and forebrain neurons, whereas normal alpha 2M has little or no such activity"
7508736,"Treatment of bacterial, fungal, and parasitic infections in the HIV-infected host","In the human immunodeficiency virus (HIV) infected patient, skin infections caused by S aureus are extremely common"
7506022,The molecular biology of taste transduction,Taste cells respond to a wide variety of chemical stimuli: certain ions are perceived as salty (Na+) or sour (H+); other small molecules are perceived as sweet (sugars) and bitter (alkaloids)
7506016,Protein kinase C is not involved in Ah receptor transformation and DNA binding,"Induction of cytochrome P4501A1 by 2,3,7,8-tetra-chlorodibenzo-p-dioxin (TCDD) is mediated by the Ah receptor (AhR) complex, a ligand-dependent DNA-binding transactivator"
7506007,Correlates of ventricular ectopic activity in isolated systolic hypertension,SHEP Cooperative Research Group
7505984,PSA and PAP as immunohistochemical markers in prostate cancer,This article describes the immunoreactivity of PSA and PAP in non-neoplastic and neoplastic prostate tissue
7505967,Biomolecular and clinical characteristics of PSA and other candidate prostate tumor markers,"Three new potential biomarkers--PAC, PMA, and the 7E11-C5 glycoprotein--have been identified"
7505877,"Randomized study for the treatment of adult advanced Hodgkin's disease: epirubicin, vinblastine, bleomycin, and dacarbazine (EVBD) versus mitoxantrone, vinblastine, bleomycin, and dacarbazine (MVBD)","Seventy patients with previously untreated advanced Hodgkin's disease and without bulky disease were entered in a prospective randomized clinical trial comparing epirubicin in combination with vinblastine, bleomycin, and dacarbazine (EVBD) with a regimen containing mitoxantrone, vinblastine, bleomycin, and dacarbazine (MVBD)"
7505279,Induction by vasoactive intestinal peptide of interferon alpha/beta synthesis in glial cells but not in neurons,"Vasoactive intestinal peptide (VIP), a 28-amino acid peptide, plays a multifunctional neuromodulatory role in both peripheral and central nervous systems"
7505263,Sera of leprosy patients with type 2 reactions recognize selective sequences in Mycobacterium leprae recombinant LSR protein,"Type 2 reactions (erythema nodosum leprosum [ENL]) are episodic, reactional states causing significant morbidity in lepromatous leprosy patients"
7501862,General case of the day,Myxoid chondrosarcoma of the cavernous sinus
7531627,IL-8/IL-8 receptor expression in psoriasis and the response to systemic tacrolimus (FK506) therapy,"Recently, the keratinocyte IL-8/IL-8 receptor (IL-8R) pathway has been implicated in the pathogenesis of psoriasis, and there is evidence that the potent macrolide immune suppressant tacrolimus (formerly FK506) can inhibit this pathway in vitro"
7530964,Callosal size in children with learning disabilities,"The corpus callosum (CC), the main structure subserving hemispheric collaboration, that is necessary for efficient cognitive functioning, undergoes developmental processes such as axonal retraction and myelination"
7530897,Methods of introduction of foreign DNA into mycobacteria,Two methods: triparental conjugation and electrotransformation were used for introduction of plasmid DNA into mycobacterial cells
7530747,"Nonallergic individuals recognize the same T cell epitopes of Bet v 1, the major birch pollen allergen, as atopic patients",The immune response toward allergens in nonallergic healthy individuals was investigated
7530735,Nitric oxide synthase does not contribute to cerebral autoregulatory phenomenon in anesthetized dogs,Nitric oxide (NO) is a potent vasodilator produced by nitric oxide synthase (NOS)
7530728,Interspecies scaling and pharmacokinetic parameters of 3TC in humans,3TC is a dideoxy-nucleoside analogue that has demonstrated in-vitro activity against human immunodeficiency virus (HIV)
7530672,Correction of the cystic fibrosis defect by gene complementation in human intrahepatic biliary epithelial cell lines,Hepatobiliary disease is the second most common cause of mortality in patients with cystic fibrosis (CF)
7530670,Role of tumor necrosis factor alpha release and leukocyte margination in indomethacin-induced gastric injury in rats,Several studies have shown that polymorphonuclear neutrophil leukocyte (PMN) margination is an early and critical event in the pathogenesis of gastric mucosal injury caused by nonsteroidal anti-inflammatory drugs
7530662,Effects of heterodimeric isoform of platelet-derived growth factor PDGF-AB on wound healing in the rat,Earlier we reported a positive effect of platelet-derived growth factor (PDGF-BB) on rat wound healing while corresponding doses of PDGF-AA were not as effective
7530657,"An acute myeloid leukemia gene, AML1, regulates hemopoietic myeloid cell differentiation and transcriptional activation antagonistically by two alternative spliced forms",The AML1 gene on chromosome 21 is disrupted in the (8;21)(q22;q22) and (3;21)(q26;q22) translocations associated with myelogenous leukemias and encodes a DNA binding protein
7530651,Skeletal muscle cell-derived insulin-like growth factor (IGF) binding proteins inhibit IGF-I-induced myogenesis in rat L6E9 cells,The insulin-like growth factors (IGFs) stimulate the differentiation of skeletal muscle cells
7529958,Neuropathology and immunohistochemistry of the brain-stem in neonates with congenital hydrocephalus: comparative studies between aqueductal stenosis and Arnold-Chiari malformation,Neuropathological and immunohistochemical studies were done on the brain-stem of neonates who had congenital hydrocephalus with aqueductal stenosis or Arnold-Chiari malformation (ACM)
7529904,Extracellular levels of serotonin in the medial pontine reticular formation in acute decerebrate cats with a microdialysis technique,Extracellular levels of serotonin (5-HT) and 5-hydroxyindolacetic acid (5-HIAA) were measured in the medial pontine reticular formation of acute decerebrate cats
7529877,Structure-function correlates of autoantibodies to nucleic acids,"Lessons from immunochemical, genetic and structural studies"
7529820,Glycine response in acutely dissociated ventromedial hypothalamic neuron of the rat: new approach with gramicidin perforated patch-clamp technique,1
7529792,"Multivalent, but not divalent, antigen receptor cross-linkers synergize with CD40 ligand for induction of Ig synthesis and class switching in normal murine B cells",A redefinition of the TI-2 vs T cell-dependent antigen dichotomy
7529771,Strategies for mapping and imitating viral B-cell epitopes,"Identification of viral B-cell epitopes is of importance in the selection of peptides for inclusion into subunit vaccines, the development of virus-specific serological tests and understanding the interaction of antibodies with viruses at a molecular level"
7529739,Three distinct messenger RNAs can encode the human immunosuppressant-binding protein FKBP12,FKBP12 is an 11.8-kDa protein that binds the potent immunosuppressants FK506 and rapamycin
7529609,Assessment of complete remission after 2-chlorodeoxyadenosine for hairy cell leukemia: utility of marrow immunostaining and measurement of splenic index,2-Chlorodeoxyadenosine (2-CdA) yields high complete remission (CR) rates in patients with hairy cell leukemia (HCL) Two approaches were used to detect minimal residual disease
7529604,Demonstration of carbohydrate-specific immunoglobulin G4 antibodies in sera of patients receiving grass pollen immunotherapy,"From a group of 92 patients receiving grass pollen immunotherapy, and selected on grounds of high IgG4 titers against Lol p I, sera were tested for IgG4 antibodies against the glycosylated grass pollen allergen Lol p XI"
7529588,Scrape cytology in the diagnosis of Paget's disease of the breast,Eczema of the nipple is an important symptom presenting to the general surgeon in the out-patient department
7529507,Evaluation of proviral copy number and plasma RNA level as early indicators of progression in HIV-1 infection: correlation with virological and immunological markers of disease,"We compared the proviral DNA level in peripheral blood mononuclear cells (PBMC), viral RNA level in plasma, presence of p24 antigen in serum, viral phenotype, and results of immunological markers of HIV-1 disease"
7529272,Severe neurological complications following orthotopic liver transplantation in patients receiving FK 506 and prednisone,"The objective of this study was to define the severe neurological complications that occur in recipients of an orthotopic liver transplantation, receiving FK 506 as their primary immunosuppressive agent"
7529219,Characterization of HCV structural proteins expressed in various animal cells,"Hepatitis C virus (HCV) is a main causative agent for transfusion-associated and sporadic cases of non-A, non-B hepatitis throughout the world"
7529214,Signal-averaged ECG in prediction of the short-term suppression of ventricular premature beats by Mexiletine,We analyzed whether baseline parameters of time-domain and spectrotemporal analysis of a signal-averaged ECG or their changes during Mexiletine therapy can predict the antiarrhythmic efficacy of the drug
7528835,Effects of E-4031 on atrial fibrillation threshold in guinea pig atria: comparative study with class I antiarrhythmic drugs,"The effects of E-4031, a new class III antiarrhythmic agent, on atrial fibrillation threshold (AFT), atrial effective refractory period (ERP), and interatrial conduction time (ACT) were investigated in Langendorff-perfused guinea pig hearts; the results were then compared with those of the class I agents disopyramide, procainamide, lidocaine, and flecainide"
7528763,Apoptosis defects analyzed in TcR transgenic and fas transgenic lpr mice,"Although autoreactive T cells are thought to play a prominent role in autoimmune disease in MRL-lpr/lpr mice, it has been difficult to directly determine if autoreactive T cells escape from the thymus and react with self-antigens in the periphery"
7528719,Characterization of neutralizing monoclonal antibodies directed against Staphylococcus aureus alpha-toxin,"A panel of neutralizing murine monoclonal antibodies (MAbs) against Staphylococcus aureus alpha-toxin has been established, using formaline-inactivated alpha-toxin as an immunogen"
7528717,The upstream promoter of the beta-amyloid precursor protein gene (APP) shows differential patterns of methylation in human brain,"The human beta-amyloid protein precursor (beta-APP) gene (symbol APP) shows variable levels of expression in different human tissues, including brain"
7528464,Impaired endothelium-dependent vascular relaxation in patients with hypercholesterolemia extends beyond the muscarinic receptor,Patients with hypercholesterolemia have impaired endothelium-dependent vasodilation
7528461,Psychotropic medications in oncology and in AIDS patients,This chapter has reviewed the prevalence of cancer and of psychiatric syndromes in the cancer setting
7528405,Selection of the surgical procedure for management of benign prostatic hyperplasia,The standard method of surgically treating obstructing benign prostatic hyperplasia is transurethral resection of the prostate
7528343,Automated metaphase finding: an assessment of the efficiency of the METAFER2 system in a routine mutagenicity assay,The efficiency of the automated metaphase finding system METAFER2 is assessed in a routine mutagenicity assay using an aneuploid rat liver cell line treated with various promutagens
7528270,Cerebrospinal fluid concentrations of the complement MAC inhibitor CD59 in multiple sclerosis and patients with other neurological disorders,"Rodent oligodendrocytes have a unique susceptibility among glia to the lytic effects of complement, due in part to a deficiency in CD59 (protectin), a key surface inhibitor of the complement membrane attack complex (MAC)"
7528069,Preservation and contrast without osmication or section staining,Conventional treatment of tissues for sectioning and transmission electron microscopy uses aldehyde fixation and osmium tetroxide postfixation
7528012,Molecular cloning of the rat analogue of human CD59: structural comparison with human CD59 and identification of a putative active site,"We have previously described the purification and partial characterization of the rat analogue of the human complement regulatory molecule CD59 [Hughes, Piddlesden, Williams, Harrison and Morgan (1992) Biochem"
7527562,Differential replication of plasmids during stringent and relaxed response of Escherichia coli,"Stringent control of DNA replication has been demonstrated for a few replicons like oriC, pBR322, and plasmids derived from coliphage lambda"
7527455,Detection of circulating tumor cells in men with localized prostate cancer,"Using prostate-specific antigen (PSA) mRNA as a marker for prostatic epithelial cells, we have developed a sensitive technique that involves reverse transcription and polymerase chain reaction (RT-PCR) to detect circulating tumor cells in the peripheral blood of men with prostatic carcinoma (CaP)"
7527205,"Detection of Aeromonas salmonicida, causal agent of furunculosis in salmonid fish, from the tank effluent of hatchery-reared Atlantic salmon smolts","The fish pathogen, Aeromonas salmonicida, could be detected only by bacteriological culture from the kidney of dead or moribund fish in one tank in a hatchery rearing Atlantic salmon (Salmo salar L.) smolts"
