pubmed_id,titre,abstract
7498051,Staphylococcal vertebral osteomyelitis: case report,A 65-year old male Saudi patient presented with rapidly progressive quadriparesis
7494126,Endoscopic balloon dilatation of subglottic stenosis,Children with subglottic stenosis present a challenging problem to otolaryngologists
7494004,Interaction of streptokinase and plasminogen,Studied with truncated streptokinase peptides
7493562,[Factors influencing the prescribing of nootropic drugs,Results of a representative inquiry in Lower Saxony]
7509864,Development of subcellular mRNA compartmentation in hippocampal neurons in culture,Neurons possess an RNA transport system that is present in dendrites (but not axons) and sort mRNAs so that some mRNAs are restricted to cell bodies while a few others (like the mRNA for MAP2) are present in dendrites
7508017,Cellular mechanisms of action of a ouabain-like factor in vascular smooth-muscle cells,Ouabain-like factor (OLF) has been implicated to play an important role in certain forms of hypertension
7505600,Direct RT-PCR amplification of mRNA supported on membranes,We describe a simple and efficient technique that facilitates the amplification of specific mRNA for cloning and sequencing purposes
7505550,Acute lower respiratory tract infection in hospitalized children in Zimbabwe,A descriptive study was undertaken to document clinical and socio-demographic features and also to identify risk factors for mortality in children hospitalized with acute lower respiratory tract infection (ALRI)
7505073,Fine mapping of a continuous epitope on VP7 of bluetongue virus using overlapping synthetic peptides and a random epitope library,Two complementary techniques have been used to delineate an epitope on VP7 of bluetongue virus
7481480,An immunohistochemical study of immunological phenomena in minor salivary glands in patients with Sjögren's syndrome,"Using different monoclonal antibodies, we performed an immunofluorescent technique on labial salivary glands in order to investigate the immunological phenomena involved in Sjögren's syndrome (SS)"
7481402,[Athymhormic syndrome and progressive paraplegia disclosing adrenoleukomyeloneuropathy in an adult],A 40-year-old man presented with both paraparesia and an athymhormic syndrome
7471932,The development of perception and recognition of objects,In this paper it is argued that the development of object perception in infancy involves the detection of structural invariants
7466406,Decision in the management of cutaneous malignant melanoma,"Eighty-five percent of the cases of cutaneous malignant melanoma can be identified during a biological stage in which they are incapable of producing metastases and can be cured by surgical excision, alone"
7507803,Characterization of CA 125 antigen identified by monoclonal antibodies that recognize different epitopes,"The present study was undertaken to characterize the antigenic determinant of the CA 125 macromolecules recognized by newly developed monoclonal antibodies (M 11, 130-22, 145-9, 602-1, and 602-6), examine their relationship among the epitopes recognized by these antibodies, and develop a series of enzyme-linked immunosorbent assays (ELISAs) in which various combinations of antibodies are used in a double-determinant sandwich mode"
7505647,Renal epithelial cells show nonselective cation channel activity and express a gene related to the cGMP-gated photoreceptor channel,Nonselective cation channels have been found in various parts of the nephron and represent a heterogeneous group of channels
7505517,Hydrogen peroxide stimulates endocytosis in cultured bovine aortic endothelial cells,"Fluid-phase uptake of macromolecules by cultured bovine aortic endothelial cells was measured using FITC-dextran (70,000 Da)"
7489918,Genomic organization of the mycobacterial sigma gene cluster,"We have previously described sigma A and sigma B and their structural genes, mysA and mysB, respectively, in Mycobacterium smegmatis"
7505025,Differentiation of encephalitogenic T cells confers resistance to an inhibitory anti-CD4 monoclonal antibody,The anti-CD4 mAb W3/25 inhibits experimental autoimmune encephalomyelitis (EAE) in Lewis rats by blocking Th cell responses to encephalitogenic determinants of myelin basic protein (MBP)
7501874,Occurrence of the bacteria Listeria spp,in raw milk in Costa Rica
7501795,[Functional disorders of the esophagus,Radiologic diagnosis]
7500881,The diminishing variance algorithm for real-time reduction of motion artifacts in MRI,A technique has been developed whereby motion can be detected in real time during the acquisition of data
7500273,Iontophoretic delivery of oligonucleotides across full thickness hairless mouse skin,In recent years there has been an increased interest in the use of oligonucleotides as therapeutic agents
7499768,Profile of tuberculosis--an Army experience,With the advent of HIV infection an increased awareness has arisen on its effect on the incidence of various diseases
7492089,Inducible and constitutive expression of vanC-1-encoded resistance to vancomycin in Enterococcus gallinarum,Clinical isolates Enterococcus gallinarum AIB39 and E
7488363,Extraluminal laryngotracheal fixation with absorbable miniplates,To determine if miniplates made of polydioxanone can be used successfully for extraluminal laryngotracheal fixation
7485845,Task persistence after alcohol consumption among children of alcoholics,Two studies examined task persistence after alcohol consumption among young adult offspring of alcoholics [children of alcoholics (COAs)] and young adult offspring of nonalcoholics (NonCOAs)
7497856,"High risk of IDDM in African-American and Hispanic children in Chicago, 1985-1990",To determine the incidence of insulin-dependent diabetes mellitus (IDDM) among African-American and Hispanic children < 18 years of age in the city of Chicago
7491720,[Shore-term stimulation with myeloid growth factors expands bone marrow hematopoiesis,A magnetic resonance spectroscopic study]
7486517,A sequence analysis of human germline Ig VH and VL genes,"The CDR1s of a major proportion of VH, but not VL, genes display a high inherent susceptibility to amino acid replacement"
7480853,"Influence of symptoms, lung function, mood, and social support on level of functioning of patients with COPD","To explain how symptoms, lung function, mood, and social support affect level of functioning, patients (N = 143) with chronic obstructive pulmonary disease (COPD) completed measures assessing their symptoms (Bronchitis-Emphysema Symptom Checklist), mood (Profile of Mood States), social support (Personal Resource Questionnaire), and functioning (Sickness Impact Profile)"
7480851,Consistency between maternal employment attitudes and employment status,"The stability of mothers' attitudes toward employment, employment status, and consistency between employment attitudes and behavior over a 15-month period was examined"
7477021,Detection of cytomegalovirus using 'boosted' nested PCR,"As a part of a study of an outbreak of CMV infections in a neonatal care intensive care unit, a modified nested PCR was developed for detection of CMV DNA in clinical specimens"
7494437,[An evaluation of the clinical competence of a population of specialist physicians educated by the medical internship and residency system],The quality of physicians who have undergone resident official training (MIR) should logically be better than that of the remaining physicians who were not able to enter into this official training
7494274,The phenotype in vitro and in infected cells of herpes simplex virus 1 alpha trans-inducing factor (VP16) carrying temperature-sensitive mutations introduced by substitution of cysteines,"alpha trans-inducing factor (alpha TIF, VP16, Vmw65) is an essential structural protein of herpes simplex virus, being required for virion assembly"
7479328,"Characterization and autoradiographic mapping of [3H]CP96,345, a nonpeptide selective NK1 receptor antagonist in guinea pig lung","We have studied binding and distribution of NK1 receptors in guinea pig lung using [3H]CP96,345"
7476808,An integrated approach to emergency psychiatric care,Increased demands for psychiatric emergency services led to a crisis in New York City emergency rooms
7472745,Osteosarcoma oncogene expression detected by in situ hybridization,"Fifteen archival human osteosarcoma specimens were examined by in situ hybridization for the expression of human and mouse transforming growth factor-beta (isoforms 1, 2, and 3), c-fos, and metalloproteinase (stromelysin-3 and matrilysin)"
7469180,Management of gastrocolic fistula,"The authors present 13 patients with gastrocolic, gastrojejunocolic, or duodenocolic fistula, the majority of which were complications of peptic ulcer disease or its treatment"
7492583,"Isolation, characterization and mode of neutralization of a potent antihemorrhagic factor from the serum of the snake Bothrops asper","A potent antihemorrhagic factor (BaSAH1) was isolated from the serum of the snake Bothrops asper by ammonium sulfate precipitation at 40-60%, Sephacryl S-200 and Sephadex G-50 gel filtration, DEAE-Sepharose, and hydrophobic Phenyl-Sepharose chromatography"
7492024,Orthotopic liver transplantation with selective use of venovenous bypass,"To determine the utility of selective use of venovenous bypass (VVB), an algorithm based upon hemodynamic criteria was instituted at Stanford University Medical Center: the bypass was used if the systolic blood pressure decreased below 100 mm Hg with a trial of caval and portal clamping"
7492001,Aspiration pneumonia following surgically placed feeding tubes,"The enteral route is preferred in surgical patients requiring nutritional support; however, controversy surrounds the choice of location of feeding tube placement"
7491185,Cobalt-57 SPET in relapsing-progressive multiple sclerosis: a pilot study,Multiple sclerosis (MS) is predominantly a progressive immune-mediated disease of the white matter in the brain
7490886,Role of spinal nitric oxide in the facilitation of the micturition reflex by bladder irritation,Nitric oxide (NO) is known to have an important transmitter function at peripheral synapses in the urogenital tract and has also been implicated in the transmission of nociceptive information in the spinal cord
7488524,Attributes of microbial associations of meat growing as xenic batch cultures in a meat juice at 4 degrees C,"Strains of Gram-positive (Carnobacterium piscicola, Leuconostoc mesenteroides subsp"
7488404,Breast conservation is a safe method in patients with small cancer of the breast,"Long-term results of three randomised trials on 1,973 patients"
7488060,Characterization of the human nm23-H2 promoter region and localization of the microsatellite D17S396,"The transcription of human nm23 genes (nm23-H1, nm23-H2) is involved in suppression of tumor metastasis or tumor progression"
7487968,The complexity in regulating the expression of tenascins,The tenascins are a growing family of extracellular matrix proteins of typical multidomain structure
7487177,[Effects of urethropexy on urination,A price to pay?]
7475658,Randomised placebo-controlled trial of primaquine for prophylaxis of falciparum and vivax malaria,Drug resistance has made malaria prevention difficult and the new agents are too expensive for widespread use
7474084,A single retroviral gag precursor signal peptide recognized by FBL-3 tumor-specific cytotoxic T lymphocytes,Several dominant T-cell receptors of cytotoxic T-lymphocyte (CTL) clones specific for FBL-3 tumor antigen were clonally amplified in mixed lymphocyte tumor cell cultures derived from an individual immune mouse
7474057,Transvaginal sonographic diagnosis of fetal finger abnormalities in early gestation,"The prenatal sonographic diagnosis of fetal finger abnormalities was recorded in a study population of 20,000 pregnant patients"
7473973,Carotid artery pseudoaneurysm and pellet embolism to the middle cerebral artery following a shotgun wound of the neck,Arterial missile embolism is a rare complication of penetrating vascular trauma
7467924,[Excretion of pethidine in mother's milk (author's transl)],"Each of nine nursing mothers received one single intramuscular injection of 50 mg pethidine (Dolcontral), between the third and eighth days from childbirth"
7463213,Excess plasma proteins as a cause of chronic inflammation and lymphodema: quantitative electron microscopy,The subcutaneous tissue of rats was injected with plasma
7463002,The amino acid sequence of a Hong Kong influenza haemagglutinin light (HA2) chain,"The amino acid sequence of the Hong Kong haemagglutinin light chang (HA2:222 residues) is nearly complete, lacking only the definition of a highly aggregated region near the carboxyl terminal end of the chain"
7491579,[Chemotherapy-induced hemolytic uremic syndrome,A complication to mitomycin treatment of breast carcinoma]
7491510,Social influences on bipolar affective disorders,The impact of psychosocial adversity on the onset and course of bipolar disorder has been assessed in studies that have relied on methods of eliciting life event histories and evaluating family atmosphere
7489987,Regulation of gene expression by interleukin-6 in fetal rat hepatocyte primary cultures: role of epidermal growth factor and dexamethasone,"Fetal rat hepatocytes incubated in the absence of hormonal signals, or under proliferative (presence of epidermal growth factor [EGF]) or differentiative (presence of dexamethasone) culture conditions, showed responsiveness to interleukin-6 (IL-6)"
7489575,[The human genome--chromosome 18],"The 18th human chromosome is probably known mainly due to patients with Edwards syndrome, children dying usually during the first week of life, the syndrome being due to the presence of three chromosomes 18-trisomy"
7484541,[Radiological diagnosis of renal oncocytoma],Eight patients (nine tumors) with histologically proven renal oncocytoma are presented
7483473,"[The effect of fatty compounds with different ratios of the polyunsaturated fatty acids of the omega-3 and omega-6 families on the expression of food-related anaphylaxis, on the liver cytochrome P-450 system and on 17-hydroxycorticosteroid metabolism in guinea pigs]","The effect of fat composition with a different ratio of polyunsaturated fatty acids of families omega 3 and omega 6 on expression of experimental dietary anaphylaxis, liver monooxygenase system and metabolism of 17-oxycorticosteroides (17-OCS) in guinea-pig have been investigated"
7473213,Nitric oxide as a retrograde messenger in the nucleus tractus solitarii of rats during hypoxia,1
7473176,Effects of methylprednisolone and 21-aminosteroids on mitogen-induced interleukin-6 and tumor necrosis factor-alpha production in human peripheral blood mononuclear cells,The compounds U-74389G (16-desmethyl tirilazad) and U-74500A are two of the novel series of nonglucocorticoid 21-aminosteroids (or lazaroids) which mimic the high-dose neuroprotective pharmacology of the glucocorticoid methylprednisolone (MP) in the injured CNS
7473139,Supra-additive natriuretic synergism between bendroflumethiazide and furosemide in rats,"To examine the diuretic and natriuretic synergism between bendroflumethiazide (BFTZ) and furosemide (FUR), the acute diuretic and natriuretic response to BFTZ was compared when given alone, during acute and during chronic FUR infusion"
