pubmed_id,titre,abstract
7534795,Receptor-specific induction of individual AP-1 components in B lymphocytes,"The inducible nuclear transcription factor complex, AP-1, typically consists of heterodimers between Jun and Fos proteins"
7534735,A CD8+ T-lymphocyte-mediated and CD4+ T-lymphocyte-independent autoimmune diabetes of early onset in transgenic mice,"While transgenic mice expressing tumour necrosis factor-alpha under the control of the beta-cell-specific insulin promoter display a marked lymphocytic infiltration of the islets, they never develop insulin-dependent diabetes mellitus (IDDM)"
7534664,Blade balloon atrial septostomy in patients with severe primary pulmonary hypertension,"Patients with severe primary pulmonary hypertension have a poor prognosis, but those with a patent foramen ovale may survive longer"
7535136,"The recognition of three different epitopes for the H-type 2 human blood group determinant by lectins of Ulex europaeus, Galactia tenuiflora and Psophocarpus tetragonolobus (winged bean)","The chemical mapping of the regions of H-type 2 human blood group-related trisaccharide (Fuc alpha (1-2)Gal beta (1-4)GlcNAc beta Me) that are recognized by three different lectins, the so-called epitopes, are reviewed together with an account of how and why oligosaccharides form specific complexes with proteins as presently viewed in this laboratory"
7535083,N- and KRAS mutations in primary testicular germ cell tumors: incidence and possible biological implications,"Recently, conflicting results have been reported on the incidence of RAS mutations in primary testicular germ cell tumors of adults (TGCTs)"
7534395,Cationic amino acid fluxes beyond the proximal convoluted tubule of rat kidney,"To investigate the fluxes of cationic amino acids beyond the proximal convolution, we micropunctured and microperfused superficial tubules of male Wistar rats in vivo et situ"
7533892,Evaluation of the genetic toxicity of the organophosphate insecticide chlorpyrifos,"The genetic toxicity of chlorpyrifos [O,O,-diethyl-O-(3,5,6-trichloro-2- pyridinyl)phosphorothioate, C.A.S"
7533793,Human alveolar macrophages present antigen ineffectively due to defective expression of B7 costimulatory cell surface molecules,"Alveolar macrophages, resident phagocytic cells in the lung that derive from peripheral blood monocytes, are paradoxically ineffective in presenting antigen to T cells"
7533685,Structural characterization of peptides that bind synovial fluid antibodies from RA patients: a novel strategy for identification of disease-related epitopes using a random peptide library,Phage epitope library technology has become a powerful tool for identifying determinants recognized by homogenous antibodies
7533131,"Three cases of extrapulmonary small cell carcinoma occurring in the prostate, stomach, and pancreas","Small cell carcinomas are fairly common neoplasms in the lung, but tumors featuring similar histological profiles may occur in extrapulmonary organs"
7533116,Characterization of a LINE-1 cDNA that originated from RNA present in ribonucleoprotein particles: implications for the structure of an active mouse LINE-1,"Full-length, sense-strand, long interspersed element-1 (LINE-1 or L1) RNA is found as an RNA-protein complex in mouse embryonal carcinoma cells"
7533083,CD28 functions as an adhesion molecule and is involved in the regulation of human IgE synthesis,Activated T cells induce IgE switching in B cells via a combination of lymphokines and direct T:B cell contact
7533052,Pathophysiology and treatment of negative symptoms,The assessment and clinical characterization of the negative symptoms of schizophrenia are reviewed
7533045,Antiepileptic effects of inhibitors of nitric oxide synthase examined in pentylenetetrazol-induced seizures in rats,"The effects of intraperitoneal NG-methyl-L-arginine and N omega-nitro-L-arginine methyl ester, specific inhibitors of nitric oxide (NO) synthase, were examined on the pentylenetetrazol (PTZ)-induced seizures in rats"
7532981,Recognition of cryptic sites in human and mouse laminins by rat osteoclasts is mediated by beta 3 and beta 1 integrins,Laminins may be encountered by osteoclasts and their precursors in basement membranes when they migrate from periosteal vasculature during skeletal development and in pathological situations
7532935,[Immunohistochemistry in pathology of the breast,Current diagnostic and prognostic contributions]
7532933,"Immunomodulatory effects of three macrolides, midecamycin acetate, josamycin, and clarithromycin, on human T-lymphocyte function in vitro","The effect of three macrolide antibiotics, midecamycin acetate, josamycin, and clarithromycin, on human T-cell function was investigated in vitro"
7532808,Neuroprotective effect of acidic fibroblast growth factor on seizure-associated brain damage,The neuroprotective effect of acidic fibroblast growth factor (aFGF) has been analysed in a rat model of seizures-associated brain damage
7532790,Effect of omega-conotoxin on cholinergic and tachykininergic excitatory neurotransmission to the circular muscle of the guinea-pig colon,The aim of this study was to compare the stimulus-response characteristics of the cholinergic and tachykininergic excitatory transmission to the circular muscle of the guinea-pig proximal colon and their susceptibility to inhibition by the N-type calcium channel blocker omega-conotoxin (CTX)
7532731,Possible participation of histamine H3-receptors in the regulation of anaphylactic histamine release from isolated rat peritoneal mast cells,"Anaphylactic histamine release from isolated rat peritoneal mast cells was concentration-dependently blocked by a 5-min treatment with exogenous histamine at 0.9 and 9 microM and enhanced by a 20- to 30-min treatment with thioperamide (H3-antagonist) at 3 microM with significance, but little affected by mepyramine (H1-antagonist) and cimetidine (H2-antagonist) at the cell concentration of 10(6) mast cells/ml"
7532656,An osmium-free method of epon embedment that preserves both ultrastructure and antigenicity for post-embedding immunocytochemistry,"Immunocytochemistry for amino acids with post-embedding gold is compatible with glutaraldehyde fixation, osmication, and embedding in epoxy-based plastics, but immunogold detection of larger molecules in the central nervous system commonly requires special procedures, e.g"
7532654,Cutaneous focal mucinosis--a histopathological and immunohistochemical analysis of 11 cases,The histogenesis of cutaneous focal mucinosis (CFM) is controversial
7532648,Glucocorticoids inhibit sulfur mustard-induced airway muscle hyperresponsiveness to substance P,"To explore the mechanisms of airway hyperreactivity to aerosolized substance P observed in guinea pigs 14 days after intratracheal injection of sulfur mustard (SM), we studied the effects of epithelium removal and inhibition of neutral endopeptidase (NEP) activity on airway muscle responsiveness"
7532644,"The tartrolons, new boron-containing antibiotics from a myxobacterium, Sorangium cellulosum","New antibiotics were isolated from the culture broth of the myxobacterium, Sorangium cellulosum, strain So ce 678"
7532638,Neuronal and endothelial nitric oxide synthase immunoreactivity and NADPH-diaphorase staining in rat and human pancreas: influence of fixation,"In this study, we wished to clarify the distribution and co-localization of nitric oxide synthase and NA-DPH-diaphorase (NADPH-d) in nerve cells, nerve fibres and parenchymal cells in exocrine and endocrine pancreas, and to assess the influence of fixation on the staining pattern obtained"
7532609,Modulation of glutathione S-transferase activity and isozyme pattern in liver and small intestine of rats fed goitrin- and T3-supplemented diets,Goitrin is a potent goitrogen that has been shown to induce glutathione S-transferase (GST) activity and to increase aflatoxin detoxification
7532602,Existence of trichohyalin-keratohyalin hybrid granules: co-localization of two major intermediate filament-associated proteins in non-follicular epithelia,"Trichohyalin is a protein of relatively high molecular weight (approximately 200 kDa), associated with intermediate filaments, that was for many years thought to be expressed only in the inner root sheath and medulla of the hair follicle"
7532598,Screening for ophthalmic manifestations of sickle cell disease in the United Kingdom,There are marked variations in the manifestations of sickle disease in different populations
7532589,Evidence that carboxyl-reduced heparin fails to potentiate acidic fibroblast growth factor activity due to an inability to interact with cell surface heparin receptors,"Recently we reported that carboxyl-reduced heparin (CR-heparin), despite binding acidic fibroblast growth factor (aFGF) as effectively as native heparin, was much less potent at augmenting aFGF-induced mitogenesis"
7532577,Glutamic acid decarboxylase-67 (GAD67): expression relative to GAD65 in human islets and mapping of autoantibody epitopes,"Glutamic acid decarboxylase (GAD), a target of both autoantibodies and autoreactive T-cells in insulin-dependent diabetes (IDD), exists as two homologous forms, GAD65 and GAD67"
7532574,Effects of hemi-thalamic damage on K-complexes evoked by monaural stimuli during midafternoon sleep,Polygraphic recording of midafternoon sleep were made in two patients with unilateral hemorrhagic infarction in the thalamus
7532568,Changes in retrogradely labelled neurones in the red nucleus and cortex after depletion of motoneurones by axotomy in neonatal rats,"Following nerve injury to the sciatic nerve in neonatal rats many motoneurones die, so that the target of the rubrospinal and corticospinal cord is altered"
7532350,Palliative treatment of malignant pleural effusions: value of small-bore catheter thoracostomy and doxycycline sclerotherapy,This study evaluates small-bore catheter thoracostomy combined with doxycycline sclerotherapy for palliative treatment of presumed malignant pleural effusions
7532275,Differential effects of phosphotyrosine phosphatase expression on hormone-dependent and independent pp60c-src activity,pp60c-src kinase activity can be increased by phosphotyrosine dephosphorylation or growth factor-dependent phosphorylation reactions
7532115,Retinoid regulation of cell differentiation in a series of human papillomavirus type 16-immortalized human cervical epithelial cell lines,Retinoids are important regulators of cervical epithelial cell differentiation and have been used in the treatment of cervical cancer
7532113,[Cytokeratin expression in spinocellular carcinoma of the uterine cervix],"Expression of cytokeratins 7, 8, 10, 14, 18 and 19 was studied in 48 cases of advanced (stage II and III) squamous cell carcinomas of the uterine cervix"
7532109,[Epidemiology of melioidosis in China],"From 1975 to 1989, a total of 73 strains of P"
7532100,In vitro assessment of compounds for anti-HIV activity,"Human immunodeficiency virus types 1 and 2 (HIV-1, -2), the etiological agents of AIDS, are retroviruses that replicate in CD4+ T lymphocytes, monocytes, and macrophages"
7532093,Primary culture of circumventricular organs from the rat brain lamina terminalis,A primary culture system of cells derived from two circumventricular organs (CVO) of the rat brain was established
7532091,Endothelial cell activation in patients with systemic vasculitis,"Vascular endothelial cells respond in vitro to a number of stimuli, and in particular to cytokines, by undergoing functional and morphological alterations which endow them with the capacity to promote inflammatory reactions"
7532085,"Retroelements, reverse transcriptase and evolution",Retroelements are genetic elements that can exist as DNA or RNA or DNA/RNA duplexes
7531435,src-homology 2 (SH2) domain ligation as an allosteric regulator: modulation of phosphoinositide-specific phospholipase C gamma 1 structure and activity,"Phosphoinositide-specific phospholipase C gamma 1 (PI-PLC gamma 1) catalyses the hydrolysis of PtdIns(4,5)P2 to generate the second messengers diacylglycerol and Ins(1,4,5)P3"
7531166,"Urinary symptoms in older men, their investigation and management: is there an epidemic of undetected morbidity in the waiting room?","As in other developed countries with an ageing population, there is a growing perception in Australia that urinary symptoms are a major cause of morbidity among older men"
7531161,Intercellular channels in teleosts: functional characterization of two connexins from Atlantic croaker,"Gap junction channels, composed of protein subunits termed connexins, are believed to play a critical role in the process of oocyte differentiation and maturation"
7531151,A cytotoxic CD40/p55 tumor necrosis factor receptor hybrid detects CD40 ligand on herpesvirus saimiri-transformed T cells,The B cell activation molecule CD40 and the p55 tumor necrosis factor receptor (p55TNFR) belong to the same family of structurally conserved proteins
7531141,Detection of Chlamydia pneumoniae in clinical specimens by polymerase chain reaction using nested primers,A nested primers strategy was used to develop a two-step PCR test for the direct species-specific detection of the 16s rRNA gene of Chlamydia pneumoniae
7531137,[Staining test with methylene blue during resection of bladder cancer in 30 patients],"From November 1991 to March 1993, staining test with methylene blue was applied in 30 patients with the bladder cancer during operation"
7531120,Brain growth retardation due to the expression of human insulin like growth factor binding protein-1 in transgenic mice: an in vivo model for the analysis of igf function in the brain,Three lines of transgenic (Tg) mice carrying a fusion gene linking the mouse metallothionein-I promoter to a cDNA encoding human insulin-like growth factor binding protein-1 (hIGFBP-1) were found to express the transgene in brain
7531117,Prostaglandin E2 promotes the induction of anergy during T helper cell recognition of myelin basic protein,Remission of experimental autoimmune encephalomyelitis (EAE) in Lewis rats may involve mediators such as prostaglandins (PG) that are produced within demyelinating lesions and are known to potently inhibit T cell responses
7531086,[The functional characteristics of Gs-protein in the developing mammalian kidney],Characteristics of G-proteins were studied in renal medulla of rats and mice of different ages
7530792,Cleaved L-selectin concentrations in meningeal leukaemia,Involvement of the central nervous system has important therapeutic implications in acute leukaemia
7530790,The effect of photogenerated site-directed free radicals on surface dihydropyridine binding sites identified with photoaffinity probe (-)-[3H]-azidopine on cultured monkey renal cells,"With the use of the photoactivable dihydropyridine (DHP)-type calcium (Ca2+ channel antagonist (-)-[3H]-azidopine, a specific photoaffinity probe for Ca2+ channels, we tested the hypothesis of the existence of a separate subsite in the DHP receptor region on native polarized, stimulated depolarized and UV irradiated green monkey renal (GMR) cells preincubated with selected DHPs"
7530789,Cytokine modulation of interleukin 1 and tumour necrosis factor-alpha secretion from acute myelogenous leukaemia blast cells in vitro,"Spontaneous secretion of interleukin 1 (IL-1) alpha, IL-1 beta and tumour necrosis factor-alpha (TNF-alpha) from acute myelogenous leukaemia (AML) blasts showed significant correlation, and detectable levels of all cytokines were seen for a majority of patients"
7530787,Isolated dihydroxyacetonephosphate acyltransferase deficiency presenting with developmental delay,A boy aged 21 months who was being investigated for developmental delay and failure to thrive was found to have punctate epiphyseal calcification
7530782,The role of increasing detection in the rising incidence of prostate cancer,To assess the reasons for the dramatic surge in prostate cancer incidence from 1986 to 1991
7530779,Colchicine toxicity--clinical features and treatment,Massive overdose case report
7530776,Axonal transport of type III intermediate filament protein peripherin in intact and regenerating motor axons of the rat sciatic nerve,Slow axonal transport of peripherin has been studied in the motor axons of both intact and regenerating rat sciatic nerves 7 days post-crush
7530775,The insulin-like growth factor I system in the rat cerebellum: developmental regulation and role in neuronal survival and differentiation,"The developmental regulation of insulin-like growth factor I (IGF-I), its receptor, and its binding proteins (IGFBPs) was studied in the rat cerebellum"
7530398,Linear B-cell epitopes of the NS3-NS4-NS5 proteins of the hepatitis C virus as modeled with synthetic peptides,A set of 150 synthetic peptides spanning the proteins NS3-NS4-NS5 of the hepatitis C virus (HCV) was synthesized and tested with a panel of 20 sera obtained from HCV-infected patients
7530393,Enhancement of HIV-1 proteinase activity by HIV-1 reverse transcriptase,HIV-1 reverse transcriptase (RT) was found to increase the activity of HIV-1 proteinase in vitro and in eukaryotic cells
7530385,The effects of bedrest on circadian changes in hemostasis,"Venous stasis occurs when people are at bedrest, because of altered venous flow characteristics"
7530379,Pharmacokinetics of risperidone in chronic schizophrenic patients,"In a randomized, crossover study, 24 schizophrenic patients received a single 4-mg dose of risperidone in caplet or tablet form"
7530377,Interaction of antipsychotic drugs with neurotransmitter receptor sites in vitro and in vivo in relation to pharmacological and clinical effects: role of 5HT2 receptors,In the introductory section an overview is given of the strategies which have been proposed in the search for side-effect free antipsychotics
7530310,Adrenergic and cromolyn sodium modulation of ECL cell histamine secretion,The histamine secreting enterochromaffin-like (ECL) cell is now recognized as the principal regulator of gastric acid secretion
7530291,Regional variations in the pharmacology of NMDA receptor channel blockers: implications for therapeutic potential,Quantitative receptor autoradiography was used to examine the regional binding characteristics of a diverse group of N-methyl-D-aspartate (NMDA)-receptor channel blockers that varied in potency 10(5)-fold
7530261,Study of certain clinical variables in patients with psoriasis and their relation to DNA content of keratinocytes,In a previous study of 26 patients with psoriasis we analyzed cytophotometrically the nuclear DNA content of the germinative compartment of involved and uninvolved skin by means of the Feulgen technique
7530249,Structural and functional studies of the intracellular tyrosine kinase MATK gene and its translated product,We recently cloned the cDNA which encodes a novel megakaryocyte-associated tyrosine kinase termed MATK
7530217,"Rapamycin, FK506 and cyclosporin A inhibit human prolactin gene expression","In this work we demonstrate that transcription of the human prolactin gene is inhibited by the immunosuppressants FK506 (IC50 = 25 nM), cyclosporin A (IC50 = 190 nM) and rapamycin (IC50 = 25 nM)"
7529833,[Nasal decongestion evaluated by acoustic rhinometry],Acoustic rhinometry measures the cross-sectional area of the nasal cavity based on changes in acoustic impedance
7529579,Estimation of kinetic rate constants from multi-channel recordings by a direct fit of the time series,"The maximum-likelihood technique for the direct estimation of rate constants from the measured patch clamp current is extended to the analysis of multi-channel recordings, including channels with subconductance levels"
7529576,Insulin-like growth factor-I regulation of luteinizing hormone (LH) receptor messenger ribonucleic acid expression and LH-stimulated signal transduction in rat ovarian theca-interstitial cells,"Currently available evidence supports the hypothesis that insulin-like growth factor-I (IGF-I) secreted by small preantral follicles may be involved in stimulating the initial differentiation of the theca interna and, in particular, expression of the LH receptor in pre-theca cells"
7529569,Von Kossa's method for renal mineralization: application for multiple specimens using capillary gap technology,Mineralization of renal tissue was investigated using Von Kossa's method and capillary gap technology
7529562,Aquaporins: water selective channels in biological membranes,Molecular structure and tissue distribution
7529558,S-antigen specific T cell clones from a patient with Behçet's disease,The isolation and characterisation of T cell clones or lines specific to retinal antigens are valuable tools to clarify the underlying mechanisms of autoimmunity to retinal antigens as a contributing factor in ocular inflammation
7529557,DRAWNA: a program for drawing schematic views of nucleic acids,A program for drawing automatically exact and schematic views of nucleic acids is described
7529553,Juxtaposition of N-myc and Ig kappa through a reciprocal t(6;12) translocation in a mouse plasmacytoma,Nearly all mouse plasmacytomas (MPCs) carry an Ig/myc translocation
7529552,Cloning and characterization of the t(X;11) breakpoint from a leukemic cell line identify a new member of the forkhead gene family,Chromosome translocations involving 11q23 are associated with a number of different types of leukemia
7529550,Acute myelomonocytic leukemia with t(10;11)(p13;q23): heterogeneity of breakpoints at 11q23 and association with recombinase activation,The human trithorax homolog gene (MLL) is directly involved in over 90% of cases of acute leukemia with abnormalities of 11q23
7529549,Origin and biology of a testicular Wilms' tumor,"A pure triphasic testicular Wilms' tumor, without teratomatous elements, was studied using multiple techniques"
7529545,Histological and enzyme histochemical parameters for the age estimation of human skin wounds,Routine histological staining techniques form the basis of a forensic age estimation of human skin wounds and the determination of vitality is aided by the detection of neutrophilic granulocytes which appear earliest about 20-30 min after wounding
7529523,Decrease in pulmonary function during bleomycin-containing combination chemotherapy for testicular cancer: not only a bleomycin effect,"This study was performed to determine the changes in pulmonary function in patients randomised to receive treatment with four cycles of bleomycin, etoposide and cisplatin (BEP) (27 patients) or with four cycles of etoposide and cisplatin (EP) (27 patients) for disseminated non-seminomatous testicular cancer"
7529464,"High-dose aprotinin in cardiac surgery--a prospective, randomized study","Fifty patients undergoing primary coronary artery bypass surgery and 50 patients undergoing valve surgery received either high-dose aprotinin (2 million units loading dose, 2 million units added to the CPB prime, and 500,000 units/hr maintenance infusion) or placebo"
7529462,Isovolemic hemodilution with dextran prevents contrast medium induced impairment of pancreatic microcirculation in necrotizing pancreatitis of the rat,"Previous studies demonstrated that intravenous contrast medium (CM), as used in contrast enhanced computed tomography, aggravates the impairment of pancreatic microcirculation (PM) characteristic of severe pancreatitis and increases necrosis and mortality in necrotizing pancreatitis (NP) in rats"
7529459,"Effects of tiludronate on bone mass, structure, and turnover at the epiphyseal, primary, and secondary spongiosa in the proximal tibia of growing rats after sciatic neurectomy","To evaluate the effects of tiludronate on the mass, structure, and turnover of cancellous bone regions in immobilized rat tibiae, we performed a 4 week dosing experiment"
7529329,Stem cell factor binding to retrovirus primer binding site silencers,"Using modified nuclear lysis and binding conditions, we have examined the binding of an embryonal carcinoma (EC) cell factor, binding factor A, to a stem cell-specific silencer which acts at the DNA level and overlaps the Moloney murine leukemia virus (M-MuLV) proline primer binding site (PBS)"
7528185,Improvement of the T-cell response to a non-immunogenic peptide by its tandem association with a highly efficient T-helper peptide,"The 45-69 peptide, an helper T-cell epitope derived from HIV nef protein, is strongly immunogenic"
7528048,Genetic disorders of keratin: are scarring alopecias a sub-set?,Recent advances have challenged the prevailing view that keratins are merely passive bystanders of keratinocyte biology
7527816,Experimental autoimmune encephalomyelitis-resistant mice have highly encephalitogenic myelin basic protein (MBP)-specific T cell clones that recognize a MBP peptide with high affinity for MHC class II,BALB/c mice are resistant to disease induction when experimental protocols that induce experimental autoimmune encephalomyelitis (EAE) in susceptible strains of animals are used
7527691,Rapid progression of multiple myeloma following G-CSF mobilization,A 23-year-old man diagnosed as having multiple myeloma was treated with melphalan and prednisone monthly
7527689,Short-term myeloid reconstitution following TBI is not adversely affected by doses of FK506 that abrogate lethal GVHD,Studies were undertaken to determine whether the doses of FK506 that are effective for acute GVHD prophylaxis following lethal irradiation and bone marrow transplantation (BMT) would also suppress myeloid cell reconstitution
7527645,Bone marrow angiogenesis and progression in multiple myeloma,Tumour growth is angiogenesis-dependent
7527613,[Dose intensity in M-VAC chemotherapy with rG-CSF for metastatic transitional urothelial cancer],"The effect of M-VAC (methotrexate, vinblastine, adriamycin and cisplatin) chemotherapy supported recombinant human granulocyte stimulating factor (rG-CSF) was studied in 18 patients with metastatic urothelal cancer"
7527612,[The outlook for medical ethics in the 1990s],"The evolution of medicine throughout time--in clinical practice, in scientific progress and in the development of new technologies of semeiology and therapeutics-, created a long list of ethical problems unknown before"
7527584,[Fetoplacental antigens in pregnancies with fetal chromosomal aberrations],"Performing prenatal diagnosis of congenital developmental abnormalities, the authors have studied two biochemical parameters in maternal serum: alpha-1-fetoprotein (MS AFP) and trophoblast-specific beta-1-glycoprotein (MS SP1)"
7526867,Multiple mechanisms of arachidonic acid release in Chinese hamster ovary cells transfected with cDNA of substance P receptor,We investigated the release of [3H]arachidonic acid ([3H]AA) and its relationship to the formation of [3H]inositol trisphosphate ([3H]IP3) elicited by substance P (SP) in prelabeled Chinese hamster ovary cells stably expressing the SP receptor
7526753,Association between neutrophil functions and periparturient disorders in cows,Neutrophil functions were examined in healthy periparturient dairy cows (n = 46) and in cows with retained placenta and metritis complex (n = 20); metritis (n = 18); or mastitis (n = 13)
7526752,Lindane toxicity in a 24-year-old woman,A case of lindane toxicity in a 24-year-old woman who used lindane shampoo for treatment of an alleged case of lice infestation is described
7526725,"Alcohol, marijuana, and tobacco: effects of prenatal exposure on offspring growth and morphology at age six",Little is known about the long-term effects of prenatal exposure to alcohol
7526557,[Comparative evaluation of some morphologic methods for detecting Helicobacter pylori in gastric mucosa],"Gastroscopic examination was performed in 183 patients with upper gastrointestinal symptoms, with brush biopsy and taking of mucosa specimens for cytological and histopathological examination in order to detect the presence of Helicobacter pylori"
7526553,Immunity in hepatitis C virus infection,"Immunity after HCV infection is weak, even after reinfection with the identical strain of virus"
7526546,"National Hospital Discharge Survey: annual summary, 1992",This report presents statistics on the utilization of non-Federal short-stay hospitals based on data collected through the National Hospital Discharge Survey from a national sample of the hospital records of discharged inpatients
7526544,Mapping helper virus functions for cucumber mosaic virus satellite RNA with pseudorecombinants derived from cucumber mosaic and tomato aspermy viruses,"P-TAV is a strain of tomato aspermy virus (TAV) able to efficiently support the systemic accumulation of some (i.e., B2-satRNA) but not of other (i.e., Ix-satRNA) strains of the satellite RNA (satRNA) of cucumber mosaic virus (CMV) in both tobacco and in tomato"
7526542,Characterization of two density populations of feline calicivirus particles,Feline calicivirus (FCV) F9 strain was propagated in Crandall-Reese feline kidney cells
7526535,Analysis of the determinants of the satellite RNA of cucumber mosaic cucumovirus for high accumulation in squash,Ix-satRNA is a 334-nt cucumber mosaic cucomovirus satellite RNA (CMV-satRNA) with the unusual property of accumulating to high levels in host plants of the family Cucurbitaceae
7526459,[The child and adolescent psychiatric clientele in the Zurich canton over two decades],Data reflecting the clientele of the Child and Adolescent Psychiatric Service of the Canton of Zurich (Switzerland) spanning two decades between 1973 and 1993 were analyzed
7526455,Acute reversible ataxo-myoclonic encephalopathy with flecainide therapy,A 73 year-old patient with Wolff-Parkinson-White syndrome and paroxysmic supraventricular tachycardia developed an acute reversible encephalopathy within 15 days of initiation of flecainide
7526451,Is there a cognitive impairment in MND? A survey with longitudinal data,"Twenty-nine patients affected by motor neuron disease (MND) were investigated with the Raven Progressive Matrices, a test of logical non verbal intelligence, requiring neither motor nor verbal skills"
7526449,[Results of surgical therapy in esophagus and cardia carcinoma],Surgery for carcinoma of the esophagus and cardia represents potentially curative therapy in early stage of tumor
7526447,Developmentally moderated expressions of the neuropathology underlying schizophrenia,A gradually accumulating body of literature suggests that behavioral dysfunction precedes the onset of the schizophrenic syndrome by many years
7526445,Prenatal origin of schizophrenia in a subgroup of discordant monozygotic twins,"Neuropathological, obstetrical, and epidemiological evidence increasingly suggest that some cases of adult-onset schizophrenia have prenatal or neonatal etiological roots"
7526443,Immunostimulatory effect of thalidomide in normal C57BL/6 mice is compatible with stimulation of a highly connected central immune system,"Although thalidomide has been used with success in the treatment of increasing numbers of autoimmune diseases, the therapeutic effects have not been satisfactorily explained so far"
7526439,Bidirectional small-intestinal permeability in the rat to some common marker molecules in vitro,The barrier properties of the small intestine were investigated by studying the bidirectional permeability to five commonly used marker molecules
7525346,Stable expression of VLA-4 and increased maturation of the beta 1-integrin precursor after transfection of CHO cells with alpha 4m cDNA,A full-length cDNA coding for the murine alpha 4 integrin subunit (alpha 4m) was transfected into CHO-K1 cells and cell lines that expressed VLA-4 at their surface as a result of the association of transfected alpha 4m with endogenous hamster beta 1 were selected
7525085,Serum amyloid A: an acute phase apolipoprotein and precursor of AA amyloid,Serum amyloid A is an acute phase protein complexed to HDL as an apoprotein
7524462,Elevated cerebrospinal fluid levels of oxytocin in obsessive-compulsive disorder,Comparison with Tourette's syndrome and healthy controls
7524308,MIC2 analysis of small cell carcinoma,"Small cell carcinomas (SCCs) and peripheral neuroectodermal tumors (PNETs) are two distinct neoplasms that show considerable histologic, immunohistochemical, and clinical overlap, but differ in their therapies and prognoses"
7523694,Cerebral artery Doppler ultrasonography for prediction of outcome after perinatal asphyxia,Perinatal asphyxia is the most common cause of neurologic injury and neurodevelopmental delay
7523692,"Retrograde axonal transport of locally synthesized proteins, e.g., actin and heat shock protein 70, in regenerating adult frog sciatic sensory axons",The local synthesis and subsequent retrograde axonal transport of [35S]methionine-labelled proteins was studied in the in vitro regenerating adult frog sciatic sensory axons
7522702,[Results of laparoscopic cholecystectomy],The paper provides the results of two-year use of laparoscopic cholecystectomy as a treatment of calculous cholecystitis in patients with various clinical and morphological types of calculous cholecystitis
